" is out of stock!"," ist nicht auf Lager!"
"404 Page Not Found","404 Seite nicht gefunden"
"Account data has successfully been updated","Kontodaten wurden erfolgreich aktualisiert"
"Add review","Bewertung hinzufügen"
"Adding a review ...","Adding a review ..."
"Address provided in checkout contains invalid data. Please check if all required fields are filled in and also contact us on {email} to resolve this issue for future. Your order has been canceled.","Die angegebene Adresse ist nicht gültig. Bitte überprüfen Sie, ob alle notwenigen Felder ausgefüllt sind und kontaktieren Sie uns per {email} um den Fehler für die Zukunft zu beheben. Ihre Bestellung wurde abgebrochen."
"Allow notification about the order","Erlauben Sie Benachrichtigungen über die Bestellung"
"Are you sure you would like to remove this item from the shopping cart?","Sind Sie sicher, dass Sie diesen Artikel aus Ihrem Warenkorb entfernen wollen?"
"Checkout","Kasse"
"Compare Products","Produkte vergleichen"
"Compare products","Produkte vergleichen"
"Confirm your order","Bestätigen Sie ihre Bestellung"
"Error refreshing user token. User is not authorized to access the resource","Fehler bei der Erneuerung des Benutzer-Tokens. Der Benutzer ist nicht authorisiert auf die Resource zuzugreifen"
"Error with response - bad content-type!","Fehler in der Antwort vom Server - Falscher Inhaltstyp!"
"Error: Error while adding products","Error: Fehler beim hinzufügen der Produkte"
"Extension developers would like to thank you for placing an order!","Extension-Entwickler würden sich bei Ihnen gerne dafür bedanken, dass Sie eine Bestellung getätigt haben!"
"Field is required","Dies ist ein Pflichtfeld"
"Field is required.","Dies ist ein Pflichtfeld."
"Grand total","Gesamtsumme"
"Home Page","Startseite"
"In stock!","Auf Lager!"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Ein interner Anwendungsfehler ist, während der Erneuerung des Tokens, aufgetreten. Bitte leeren Sie den Speicher und laden Sie die Seite neu."
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Interner Validierungsfehler. Bitte überprüfen Sie, ob alle erforderlichen Felder ausgefüllt sind. Bei Problemen kontaktieren Sie uns bitte über {email}"
"Must be greater than 0","Muss größer als 0 sein"
"My Account","Mein Konto"
"Newsletter preferences have successfully been updated","Die Newsletter-Einstellungen wurden erfolgreich aktualisiert"
"No available product variants","Keine Produkte verfügbar"
"No products synchronized for this category. Please come back while online!","Es sind keine Produkte für diese Kategorie synchronisiert. Bitte versuchen Sie es erneut, wenn Sie online sind!"
"No such configuration for the product. Please do choose another combination of attributes.","Diese Konfiguration ist für dieses Produkt nicht möglich. Bitte wählen Sie eine andere Kombination von Eigenschaften."
"OK","OK"
"Only {maxQuantity} products of this type are available!","Only {maxQuantity} products of this type are available!"
"Out of stock!","Nicht auf Lager!"
"Out of the stock!","Nicht mehr auf Lager!"
"Payment Information","Bezahlinformationen"
"Please configure product bundle options and fix the validation errors","Bitte konfigurieren Sie die Produktbündel-Optionen und beheben Sie die Validierungsfehler"
"Please configure product custom options and fix the validation errors","Bitte konfigurieren Sie die angepassten Produktoptionen und beheben Sie die Validierungsfehler"
"Please confirm order you placed when you was offline","Bitte bestätigen Sie ihre Bestellung, welche Sie getätigt haben während Sie offline waren"
"Please fix the validation errors","Bitte beheben Sie die Validierungsfehler"
"Please select the field which You like to sort by","Bitte wählen Sie das Feld aus, nach dem Sie sortieren möchten"
"Proceed to checkout","Weiter zur Kasse"
"Processing order...","Bestellung wird verarbeitet..."
"Product has been added to the cart!","Produkt wurde zum Warenkorb hinzugefügt!"
"Product price is unknown, product cannot be added to the cart!","Der Produktpreis ist unbekannt, daher kann dieses Produkt nicht zum Warenkorb hinzugefügt werden!"
"Product quantity has been updated!","Produktmenge wurde aktualisiert!"
"Product {productName} has been added to the compare!","Das Produkt {productName} wurde zur Vergleichsliste hinzugefügt!"
"Product {productName} has been added to wishlist!","Das Produkt {productName} wurde der Wunschliste hinzugefügt!"
"Product {productName} has been removed from compare!","Das Produkt {productName} wurde von der Vergleichsliste entfernt!"
"Product {productName} has been removed from wishlist!","Das Produkt {productName} wurde von der Wunschliste entfernt!"
"Quantity must be above 0","Die Menge muss größer als 0 sein"
"Registering the account ...","Registrieren des Kontos ..."
"Reset password feature does not work while offline!","Die Funktion zum Zurücksetzen des Passworts funktioniert nicht im Offline-Modus!"
"Review","Bewertung"
"Reviews","Bewertungen"
"Shopping cart is empty. Please add some products before entering Checkout","Ihr Warenkorb ist leer. Bitte fügen Sie mindestens ein Produkt hinzu bevor Sie zur Kasse gehen"
"Some of the ordered products are not available!","Einige der bestellten Produkte sind nicht auf Lager!"
"Stock check in progress, please wait while available stock quantities are checked","Bestandskontrolle läuft. Bitte warten Sie einen Moment bis die verfügbare Bestandsmenge geprüft worden ist"
"Subtotal incl. tax","Zwischensumme inkl. MwSt."
"Summary","Zusammenfassung"
"The product is out of stock and cannot be added to the cart!","Das Produkt ist nicht auf Lager und kann daher nicht zum Warenkorb hinzugefügt werden!"
