" is out of stock!"," non è disponibile!"
"404 Page Not Found","404 Pagina non trovata"
"Account data has successfully been updated","Le tue informazioni sono state aggiornate con successo"
"Add review","Aggiungi una recensione"
"Adding a review ...","Adding a review ..."
"Address provided in checkout contains invalid data. Please check if all required fields are filled in and also contact us on {email} to resolve this issue for future. Your order has been canceled.","L'indirizzo fornito nel checkout contiene dati non validi. Per favore controlla di averi riempito tutti i campi obbligatori e contattaci all'indirizzo email {email} per risolvere questo problema in futuro. Il tuo ordine è stato cancellato."
"Allow notification about the order","Consenti notifiche sull'ordine"
"Are you sure you would like to remove this item from the shopping cart?","Sei sicuro di voler rimuovere questo articolo dal carrello?"
"Checkout","Cassa"
"Columns","Colonne"
"Compare Products","Confronta prodotti"
"Compare products","Confronta prodotti"
"Confirm your order","Conferma il tuo ordine"
"Error refreshing user token. User is not authorized to access the resource","Errore durante l'aggiornamento del token. L'utente non è autorizzato ad accedere alla risorsa"
"Error with response - bad content-type!","Errore nella risposta - content-type non valido!"
"Error: Error while adding products","Errore: c'è stato un errore durante l'aggiunta dei prodotti"
"Extension developers would like to thank you for placing an order!","Gli sviluppatori dell'estensione vorrebbero ringraziarti per aver fatto un ordine!"
"Field is required","Campo obbligatorio"
"Field is required.","Campo obbligatorio"
"Grand total","Totale"
"Home Page","Home"
"In stock!","Disponibile"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Errore interno dell'applicazione durante l'aggiornamento dei token. Per favore svuota lo storage e ricarica la pagina."
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Errore di validazione interno. Se tutti i campi sono stati compilati contattare {email}"
"Must be greater than 0","Deve essere maggiore di 0"
"My Account","Il mio account"
"Newsletter preferences have successfully been updated","Le tue preferenze sulla newsletter sono state aggiornate con successo"
"No available product variants","Non ci sono varianti disponibili"
"No products synchronized for this category. Please come back while online!","Nessun prodotto in questa categoria. Verifica la connessione di rete e riprova!"
"No such configuration for the product. Please do choose another combination of attributes.","Configurazione del prodotto inesistente. Scegli un'altra combinazione di attributi"
"OK","OK"
"Only {maxQuantity} products of this type are available!","Only {maxQuantity} products of this type are available!"
