" is out of stock!"," está em ruptura de stock!"
"404 Page Not Found","404 Página Não Encontrada"
"Account data has successfully been updated","Os dados da conta foram atualizados"
"Adding a review ...","Adding a review ..."
"Are you sure you would like to remove this item from the shopping cart?","Tem a certeza de que deseja remover este item do Cesto de Compras?"
"Checkout","Finalizar Compra"
"Compare Products","Comparar Produtos"
"Error with response - bad content-type!","Erro na resposta do servidor - bad content-type!"
"Field is required","Campo obrigatório"
"Field is required.","Campo obrigatório."
"Grand total","Total"
"Home Page","Página Inicial"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Erro Interno da Aplicação ao atualizar as tokens. Por favor limpe o cache do seu browser e recarregue a página."
"Internal validation error. Please check if all required fields are filled in. Please contact us on contributors@vuestorefront.io","Erro interno de validação. Por favor verifique se todos os campos obrigatórios estão preenchidos. Por favor contate-nos em contributors@vuestorefront.io"
"My Account","A Minha Conta"
"Newsletter preferences have successfully been updated","As suas preferências para a Newsletter foram atualizadas."
"No products synchronized for this category. Please come back while online!","Nenhum produto sincronizado para esta categoria. Por favor volte qundo estiver online!"
"No such configuration for the product. Please do choose another combination of attributes.","Esta configuração não é possível para este produto. Por favor selecione outra configuração de opções."
"OK","OK"
"Only {maxQuantity} products of this type are available!","Only {maxQuantity} products of this type are available!"
"Out of stock!","Ruptura de stock!"
"Please fix the validation errors","Por favor corrija os erros de validação"
"Proceed to checkout","Ir para Finalizar Compra"
"Product has been added to the cart!","O produto foi adicionado ao Cesto de Compras!"
"Product price is unknown, product cannot be added to the cart!","O preço do produto é desconhecido, o produto não pode ser adicionado ao Cesto de Compras!"
"Product quantity has been updated!","A quantidade do produto foi atualizada!"
"Product {productName} has been added to the compare!","Produto {productName} foi adicionado a Comparar Produtos!"
"Product {productName} has been added to wishlist!","Produto {productName} foi adicionado à Lista de Desejos!"
"Product {productName} has been removed from compare!","Produto {productName} foi removido de Comparar Produtos!"
"Product {productName} has been removed from wishlist!","Produto {productName} foi removido da Lista de Desejos!"
"Registering the account ...","A registar a conta ..."
"Reset password feature does not work while offline!","A funcionalidade de Recuperação de Senha não funciona sem ligação à internet!"
"Shopping cart is empty. Please add some products before entering Checkout","O Cesto de Compras está vazio. Por favor adicione alguns produtos antes de Finalizar Compra"
"Some of the ordered products are not available!","Alguns dos produtos solicitados não estão disponíveis!"
"Stock check in progress, please wait while available stock quantities are checked","Estamos a verificar o stock, por favor aguarde até que verifiquemos se a quantidade solicitada está disponível."
"Subtotal incl. tax","Subtotal c/ imposto"
"The product is out of stock and cannot be added to the cart!","O produto não se encontra em stock e não pode ser adicionado ao Cesto de Compras!"
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","O sistema não tem certeza sobre a quantidade em stock (volátil). O produto foi adicionado ao Cesto de Compras em pré-reserva."
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","Sem ligação à Internet. Mas pode finalizar o seu pedido. Assim que possível iremos notifica-lo caso algum dos produtos solicitados não estiverem disponíveis."
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","Esta funcionalidade ainda não foi implementada! Por favor consulte o nosso Rodmap em https://github.com/DivanteLtd/vue-storefront/issues!"
"Thumbnail","Thumbnail"
"Type what you are looking for...","Escreva o que está procurando..."
"Unhandled error, wrong response format!","Erro desconhecido, formato de resposta errado!"
"You are logged in!","Você está com sessão inicializada!"
"You need to be logged in to see this page","Precisa de iniciar sessão para ver esta página"
"You submitted your review for moderation.","You submitted your review for moderation."
"You're logged out","Você não está com sessão inicializada"
"not authorized","não autorizado"
