"coreMessage","Voici le message principal"
"customMessage","Voici le message principal. qui peut être écrasé dans le thème"
"Registering the account ...","Enregistrement du compte ..."
"No products synchronized for this category. Please come back while online!","Aucun produit synchronisé dans cette catégorie. Merci de passer en ligne!"
"Shopping cart is empty. Please add some products before entering Checkout","Le panier d'achat est vide. Veuillez ajouter des produits avant de passer à la caisse"
"Out of stock!","rupture de stock!"
" is out of the stock!"," N'est pas en stock!"
"Some of the ordered products are not available!","Certains des produits commandés ne sont pas disponibles!"
"Stock check in progress, please wait while available stock quantities are checked","Vérification du stock en cours, veuillez patienter pendant que les stocks disponibles sont vérifiés"
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not avaiable because we cannot check it right now.","Il n'y a pas de connexion Internet. Vous pouvez toujours passer votre commande. Nous vous informerons si l'un des produits commandés n'est pas disponible car nous ne pouvons pas le vérifier en mode hors ligne."
"Please do correct validation errors","veuillez corriger les érreurs de validation"
"No such configuration for the product. Please do choose another combination of attributes.","Aucune configuration de ce type pour le produit. Veuillez choisir une autre combinaison d'attributs."
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","Le système n'est pas sûr de la quantité de stock (volatile). Le produit a été ajouté au panier pour la pré-réservation."
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","Cette fonctionnalité n'est pas encore implémentée! Veuillez vous rendre sur https://github.com/DivanteLtd/vue-storefront/issues pour consulter notre Roadmap!"
"The product is out of stock and cannot be added to the cart!","Le produit est en rupture de stock et ne peut être ajouté au panier!"
"Product has been added to the cart!","Le produit a été ajouté au panier!"
"Internal validation error. Please check if all required fileds are filled in. Please contact us on contributors@vuestorefront.io","Erreur de validation interne Veuillez vérifier si tous les champs requis sont remplis. Veuillez nous contacter sur contributors@vuestorefront.io"
"Product {productName} has been added to the compare!","Le produit {productName} a été ajouté au comparateur!"
"Product {productName} has been removed from compare!","Le produit {productName} a été supprimer du comparateur!"
"Product {productName} has been added to wishlist!","Le produit {productName} a été ajouté à la liste des souhaits!"
"Product {productName} has been removed from wishlit!","Le produit {productName} a été supprimer de la liste des souhaits!"
"Account data has successfully been updated","Votre compte a été mis à jour avec succes"
"You are logged out","Vous êtes déconnecté"
"Remove from compare","Supprimer du comparateur"
"Newsletter preferences have successfully been updated","Les préférences de la newsletter ont été mises à jour avec succès"
"This feature has not been implemented yet. Please follow our <a class=""c-on-dark"" style=""text-decoration: underline"" href=""https://github.com/DivanteLtd/vue-storefront/issues"">Roadmap</a> for the details","Cette fonctionnalité n'a pas encore été implémentée. veuillez consulter notre <a class=""c-on-dark"" style=""text-decoration: underline"" href=""https://github.com/DivanteLtd/vue-storefront/issues"">Roadmap</a> pour les détails"
"Newsletter succesfully subscribed. Thank you!","Succés de l'habonement à lanewsletter. merci!"
"You have already subscibed our newsletter","Vous avez déjà souscrit à notre newsletter"
"Email field is empty","Le champ Email est vide"
"Reseting the password ... ","Réinitialiser le mot de passe ... "
"Error while sending reset password e-mail","Erreur lors de l'envoi de l'Email de réinitialisation du mot de passe"
"Reset password feature does not work while offline!","La fonction de réinitialisation du mot de passe ne fonctionne pas en mode hors ligne!"
