"coreMessage","Messaggio principale"
"customMessage","Questo è il messaggio principale. Può essere sovrascritto nel tema"
"Registering the account ...","Registro l'account ..."
"No products synchronized for this category. Please come back while online!","Nessun prodotto in questa categoria. Verifica la connessione di rete e riprova!"
"Shopping cart is empty. Please add some products before entering Checkout","Il tuo carrello è vuoto. Aggiungi almeno un prodotto prima di procedere al checkout"
"Out of stock!","Non disponibile"
" is out of the stock!"," non è disponibile!"
"Some of the ordered products are not available!","Alcuni dei prodotti ordinati non sono disponibili!"
"Stock check in progress, please wait while available stock quantities are checked","Verifica disponibilità in corso, attendere la verifica della quantità dei prodotti"
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","Non sei connesso ad internet ma puoi ugualmente procedere con l'ordine. Non è possibile verificare adesso la disponibilità dei prodotti, se qualcuno dei prodotti ordinati non sarà più disponibile te lo faremo sapere."
"Please do correct validation errors","Correggi gli errori di validazione"
"No such configuration for the product. Please do choose another combination of attributes.","Configurazione del prodotto inesistente. Scegli un'altra combinazione di attributi"
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","Il sistema non è sicuro della disponibilità del prodotto (volatile). Il prodotto è stato aggiunto al carrello per prenotazione"
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","Questa funzionalità non è ancora stata implementata! Dai un'occhiata qui https://github.com/DivanteLtd/vue-storefront/issues alla nostra Roadmap!"
"The product is out of stock and cannot be added to the cart!","Il prodotto non è più disponibile e non può essere aggiunto al carrello"
"Product has been added to the cart!","Il prodotto è stato aggiunto al carrello!"
"Internal validation error. Please check if all required fields are filled in. Please contact us on contributors@vuestorefront.io","Errore di validazione interno. Se tutti i campi sono stati compilati contattare contributors@vuestorefront.io"
"Product {productName} has been added to the compare!","Il prodotto {productName} è stato aggiunto al comparatore!"
"Product {productName} has been removed from compare!","Il prodotto {productName} è stato rimosso dal comparatore"
"Product {productName} has been added to wishlist!","Il prodotto {productName} è stato aggiunto alla lista dei desideri!"
"Product {productName} has been removed from wishlist!","Le produit {productName} è stato rimosso dalla lista dei desideri"
"Account data has successfully been updated","Le tue informazioni sono state aggiornate con successo"
"You are logged out","Ti sei disconnesso"
"Remove from compare","Rimuovi dal comparatore"
"Newsletter preferences have successfully been updated","Le tue preferenze sulla newsletter sono state aggiornate con successo"
"This feature has not been implemented yet. Please follow our <a class=""c-on-dark"" style=""text-decoration: underline"" href=""https://github.com/DivanteLtd/vue-storefront/issues"">Roadmap</a> for the details","Questa funzionalità non è ancora stata implementata. Consulta la nostra <a class=""c-on-dark"" style=""text-decoration: underline"" href=""https://github.com/DivanteLtd/vue-storefront/issues"">Roadmap</a> per ulteriori informazioni"
"Newsletter successfully subscribed. Thank you!","Grazie! ti sei iscritto alla newsletter con successo"
"You have already subscribed our newsletter","Sei già iscritto alla nostra newsletter"
"Email field is empty","Il campo email è vuoto"
"Resetting the password ... ","Reimposto la password ... "
"Error while sending reset password e-mail","Errore durante l'invio della mail per reimpostare la password"
"Reset password feature does not work while offline!","Non puoi reimpostare la password quando non sei in linea!"
"Authorization in progress ...","Autorizzazione in corso ..."
"You are logged in!","Accesso eseguito!"
"This feature is not implemented yet :( Newsletter is on our roadmap - issue #200!","Questa funzionalità non è ancora stata implementata :( La newsletter è sulla nostra Roadmap - issue #200!"
"Please fix the validation errors","Correggi gli errori di validazione"
"You have been successfully subscribed to our newsletter!","Ti sei iscritto alla newsletter con successo !"
"Everything new","Tutte le novità"
"Get inspired","Lasciati ispirare"
"Size guide","Guida alle taglie"
"Add to favorite","Aggiungi ai preferiti"
"Add to compare","Confronta"
"Product details","Dettagli del prodotto"
"Filters","Filtri"
"Product price is unknown, product cannot be added to the cart!","Il prezzo di questo prodotto è sconosciuto, non è possibile aggiungerlo al carrello!"
"You're logged in as ","Sei connesso come "
"My account","Il mio account"
"My Account","Il mio account"
"Logout","Esci"
"Enter your email to receive instructions on how to reset your password.","Inserisci la tua mail per ricevere istruzioni su come reimpostare la password"
"Reset password","Reimposta la password"
"or","o"
"return to log in","Ritorna al login"
"Back to login","Ritorna al login"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Abbiamo inviato le istruzioni per reimpostare la password al tuo indirizzo email. Verifica la tua casella di posta e segui il link."
"Log in","Accedi"
"Remember me","Ricordami"
"Forgot the password?","Hai dimenticato la password?"
"Log in to your account","Accedi al tuo account"
"You must accept the terms and conditions.","Accetta le condizioni generali del servizio"
"Register","Registrati"
"register an account","Registra un account"
"Register an account","Registra un account"
"login to your account","Accedi al tuo account"
"Filter","Filtri"
"Color","Colore"
"Size","Taglia"
"Price","Prezzo"
"color_filter","Colore"
"size_filter","Taglia"
"price_filter","Prezzo"
"erin_recommends_filter","Erin Recommends"
"Order Summary","Riepilogo dell'ordine"
"Safety","Sicurezza"
"Shipping","Spedizione"
"Payment","Pagamento"
"Returns","Reso"
"Review order","Verifica dell'ordine"
"Please check if all data are correct","Controlla che tutte le informazioni siano corrette"
"I agree to","Accetto"
"Terms and conditions","Termini e condizioni"
"Place the order","Acquista"
"Edit payment","Modifica il pagamento"
"We will send you the invoice to given e-mail address","La fattura verrà inviata all'indirizzo email inserito"
"Payment method","Metodo di pagamento"
"Go review the order","Vai al riepilogo dell'ordine"
"Phone number may be needed by carrier","Il numero di telefono potrebbe servire al corriere"
"Personal Details","Informazioni personali"
"Edit personal details","Modifica le informazioni personali"
"Continue to shipping","Continua gli acquisti"
"We will send you details regarding the order","Ti invieremo i dettegli dell'ordine"
"The new account will be created with the purchase. You will receive details on e-mail.","Il nuovo account verrà creato con l'acquisto. Riceverai le informazioni tramite email"
"Edit shipping","Modifica le opzioni di spedizione"
"Ship to my default address","Invia all'indirizzo di default"
"Shipping method","Metodo di spedizione"
"Continue to payment","Continua con il pagamento"
"Departments","dipartimenti"
"Women fashion","Abbigliamento donna"
"Men's fashion","Abbigliamento uomo"
"Kidswear","Abbigliamento bimbo"
"Orders","Ordini"
"Track my order","Traccia il mio ordine"
"Delivery","Spedizione"
"Return policy","Politica dei resi"
"Customer service","Servizio clienti"
"Contact us","Contattaci"
"About us","Chi siamo"
"Store locator","Store locator"
"United States (US)","Stati Uniti (US)"
"Legal notice","Note legali"
"Subscribe to the newsletter and receive a coupon for 10% off","Iscriviti alla newsletter e ricevi un codice sconto del 10%"
"Subscribe","Iscriviti"
"Return to shopping","Continua gli acquisti"
"Login to your account","Accedi al tuo account"
"You are logged in as","sei connesso come"
"Edit","Modifica"
"Shopping cart","Carrello"
"Your shopping cart is empty.","Il tuo carrello è vuoto"
"Don't hesitate and","Non esitare e "
"browse our catalog","Sfoglia il catalogo"
"to find something beautiful for You!","per trovare qualcosa di bello per te!"
"Shopping summary","Riepilogo acquisti"
"Subtotal inc. tax","Subtotale tasse incluse"
"Total inc. tax","Totale tasse incluse"
"Go to checkout","Vai al Checkout"
"Remove","Elimina"
"My newsletter","Newsletter"
"Edit newsletter preferences","Modifica le preferenze della newsletter"
"General agreement","Condizioni generali"
"Preferences","Preferenze"
"Cancel","Annulla"
"Update my preferences","Aggiorna le preferenze"
"My profile","Profilo"
"Edit your profile","Modifica il profilo"
"Update my profile","Aggiorna il profilo"
"My shipping details","Informazioni di spedizione"
"Edit your shipping details","Modifica le informazioni di spedizione"
"Update my shipping details","Modifica le informazioni di spedizione"
"Country","Paese"
"Similar products","Prodotti simili"
"No results were found.","Non abbiamo trovato niente"
"Type what you are looking for...","Digita quello che stai cercando..."
"Sale","Sconti"
"My orders","I miei ordini"
"My loyalty card","Carta fedeltà"
"My product reviews","Recensioni prodotti"
"Wishlist","Lista dei desideri"
"Your wishlist is empty.","La lista dei desideri è vuota."
"Add to cart","Aggiungi al carrello"
"Select color ","Seleziona un colore "
"See details","Dettagli"
"We use cookies to give you the best shopping experience.","Utilizziamo cookies per offrirvi la migliore esperienza d'acquisto possibile."
"Home Page","Home"
"Sign up to our newsletter and receive a coupon for 10% off!","Iscriviti alla newsletter e ricevi un codice sconto del 10% !"
"Quantity","Quantità"
"Price ","Prezzo"
"Select size ","Seleziona la taglia "
"Print This Page","Stampa la pagina"
"You have no items to compare.","Non hai niente da comparare."
"New Luma Yoga Collection","Nuova collezione Luma Yoga"
"We can't find the page","Non troviamo la pagina"
"Unfortunately we can't find the page you are looking for.","Sfortunatamente non riusciamo a trovare la pagina che stai cercando."
"If you need an assistance you can drop us a line on","Se hai bisogno di aiuto scrivici un messaggio"
