"coreMessage","Aqui está a mensagem principal"
"customMessage","Aqui está a mensagem principal. pode ser reescrito no tema"
"Registering the account ...","Salvando a conta ..."
"No products synchronized for this category. Please come back while online!","Nenhum produto sincronizado para essa categoria. Por favor volte enquanto estiver online!"
"Shopping cart is empty. Please add some products before entering Checkout","Carrinho está vazio. Por favor adicione alguns produtos antes de Finalizar a Compra"
"Out of stock!","Fora de estoque!"
" is out of the stock!"," está fora de estoque!"
"Some of the ordered products are not available!","Alguns dos produtos ordenados não estão disponíveis!"
"Stock check in progress, please wait while available stock quantities are checked","Estamos verificando o estoque, por favor aguarde até que verificamos a quantidade solicitada em estoque."
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","Sem conexão de Internet. Você ainda consegue finalizar seu pedido. Nós iremos notificar você se algum dos produtos solicitados não estão disponíveis, porque no momento não podemos verificar isso."
"Please do correct validation errors","Por favor corrija os seguintes erros"
"No such configuration for the product. Please do choose another combination of attributes.","Nenhuma configuração desse tipo para o produto. Por favor selecione outra configuração de opções."
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","O sistema não tem certeza sobre a quantidade em estoque (volátil). O produto foi adicionado ao carrinho em pré-reserva."
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","Essa funcionalidade não foi implementada ainda! Por favor dê uma olhada em https://github.com/DivanteLtd/vue-storefront/issues nosso planejamento!"
"The product is out of stock and cannot be added to the cart!","Produto não possui estoque e não pode ser adicionado ao carrinho!"
"Product has been added to the cart!","Produto foi adicionado ao carrinho!"
"Internal validation error. Please check if all required fields are filled in. Please contact us on contributors@vuestorefront.io","Erro interno de validação. Por favor verifique se todos os campos obrigatórios estão preenchidos. Por favor contate-nos em contributors@vuestorefront.io"
"Product {productName} has been added to the compare!","Produto {productName} foi adicionado para comparação!"
"Product {productName} has been removed from compare!","Produto {productName} foi removido da comparação!"
"Product {productName} has been added to wishlist!","Produto {productName} foi adicionado à lista de desejos!"
"Product {productName} has been removed from wishlit!","Produto {productName} foi removido da lista de desejos!"
"Account data has successfully been updated","Dados da conta foram atualizados"
"You are logged out","você está desconectado."
"Remove from compare","Remover da comparação"
"Newsletter preferences have successfully been updated","Configurações de Newsletter foram atualizadas."
