"Product-Title: Action Figure","Actionfigur"
"Product-Title: Air Refresher","Lufterfrischer"
"Product-Title: Alarm Clock","Wecker"
"Product-Title: Backpack","Rucksack"
"Product-Title: Backpack","Rucksack"
"Product-Title: Backpatch","Backpatch"
"Product-Title: Bag","Tasche"
"Product-Title: Bag","Tasche"
"Product-Title: Ballerinas","Ballerinas"
"Product-Title: Bandana","Bandana"
"Product-Title: Beanie","Beanie"
"Product-Title: Bearings","Kugellager"
"Product-Title: Bed","Bett"
"Product-Title: Beer Glass","Bierglas"
"Product-Title: Beer Mug","Bierkrug"
"Product-Title: Belt Buckle","Gürtelschnalle"
"Product-Title: Belt Pack","Gürtel Pack"
"Product-Title: Belt","Gürtel"
"Product-Title: Bikini Bottom","Bikinihose"
"Product-Title: Bikini","Bikini"
"Product-Title: Blanket","Decke"
"Product-Title: Blue Ray","Blue Ray"
"Product-Title: Board Game","Brettspiel"
"Product-Title: Board Shorts","Board Shorts"
"Product-Title: Bolts","Schrauben"
"Product-Title: Book","Buch"
"Product-Title: Bottle Holder","Flaschenhalter"
"Product-Title: Bottle Opener","Flaschenöffner"
"Product-Title: Bottle","Flasche"
"Product-Title: Boxershorts","Boxershorts"
"Product-Title: Bracelet Set","Armband Set"
"Product-Title: Bracelet","Bracelet"
"Product-Title: Breakfast Set","Frühstücksset"
"Product-Title: Button","Button"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: Calendar","Kalender"
"Product-Title: Cap","Cap"
"Product-Title: Card Game","Kartenspiel"
"Product-Title: Cardigan","Cardigan"
"Product-Title: Cargo Pants","Cargo Hose"
"Product-Title: Chair","Stuhl"
"Product-Title: Chino","Chino"
"Product-Title: Coaster Pack","Untersetzer Set"
"Product-Title: Coaster","Untersetzer"
"Product-Title: Coat","Mantel"
"Product-Title: College Jacket","College Jacke"
"Product-Title: Cup Set","Becher Set"
"Product-Title: Cup","Becher"
"Product-Title: Cushion Cover","Kisenbezug"
"Product-Title: Cycling Shorts","Radlerhose"
"Product-Title: DVD","DVD"
"Product-Title: Doormat","Fußmatte"
"Product-Title: Dress","Kleid"
"Product-Title: Dungarees","Latzhose"
"Product-Title: Earmuff","Earmuff"
"Product-Title: Earplug","Earplug"
"Product-Title: Earrings","Ohrringe"
"Product-Title: Egg Cup & Toast Cutter","Eierbecher & Toastschneider"
"Product-Title: Egg Cup","Eierbecher"
"Product-Title: Expander","Expander"
"Product-Title: Figure","Figur"
"Product-Title: Flag","Flagge"
"Product-Title: Flask","Flachmann"
"Product-Title: Flesh Tunnel","Flesh Tunnel"
"Product-Title: Foam Hand","Schaumhand"
"Product-Title: Fridge Magnet","Kühlschrankmagnet"
"Product-Title: Gift Pack","Geschenk Pack"
"Product-Title: Girl Beanie","Girl Beanie"
"Product-Title: Girl Belt","Girl Belt"
"Product-Title: Girl College Jacket","Girl College Jacke"
"Product-Title: Girl Hooded College Jacket","Girl Kapuzen College Jacke"
"Product-Title: Girl Hoodie","Girl Hoodie"
"Product-Title: Girl Jacket","Girl Jacke"
"Product-Title: Girl Jacket","Girl Jacke"
"Product-Title: Girl Jeans Jacket","Girl Jeans Jacke"
"Product-Title: Girl Jeans","Girl Jeans"
"Product-Title: Girl Leather Jacket","Girl Lederjacke"
"Product-Title: Girl Leggings","Girl Leggings"
"Product-Title: Girl Longsleeve","Girl Longsleeve"
"Product-Title: Girl Pants","Girl Hose"
"Product-Title: Girl Polo","Girl Polo"
"Product-Title: Girl Pullover","Girl Pullover"
"Product-Title: Girl Sandals","Girl Sandalen"
"Product-Title: Girl Shirt","Girl Hemd"
"Product-Title: Girl Shoes","Girl Schuhe"
"Product-Title: Girl Shorts","Girl Shorts"
"Product-Title: Girl Sweater","Girl Sweater"
"Product-Title: Girl Tank","Girl Tank"
"Product-Title: Girl Track Jacket","Girl Trainingsjacke"
"Product-Title: Girl V Neck Longsleeve","Girl V Neck Longsleeve"
"Product-Title: Girl V Neck Pullover","Girl V Neck Pullover"
"Product-Title: Girl V Neck Sweater","Girl V Neck Sweater"
"Product-Title: Girl Zipper","Girl Zipper"
"Product-Title: Girly","Girly"
"Product-Title: Glass","Glas"
"Product-Title: Gloves","Handschuhe"
"Product-Title: Goblet","Kelch"
"Product-Title: Hair Clip","Haarspange"
"Product-Title: Headphones","Kopfhörer"
"Product-Title: Heels","High Heels"
"Product-Title: Hip Bag","Gürteltasche"
"Product-Title: Hipbag","Gürteltasche"
"Product-Title: Hooded Cardigan","Kapuzencardigan"
"Product-Title: Hooded College Jacket","Kapuzen College Jacke"
"Product-Title: Hooded Girl Shirt","Girl Kapuzenhemd"
"Product-Title: Hooded Shirt","Kapuzenhemd"
"Product-Title: Hoodie","Hoodie"
"Product-Title: Hotpants","Hotpants"
"Product-Title: Ice Mould","Eiswürfelform"
"Product-Title: Jacket","Jacke"
"Product-Title: Jeans Jacket","Jeans Jacke"
"Product-Title: Jeans","Jeans"
"Product-Title: Jersey","Jersey"
"Product-Title: Jigsaw Puzzle","Puzzle"
"Product-Title: Jumpsuit","Jumpsuit"
"Product-Title: Keychain","Schlüsselanhänger"
"Product-Title: Lamp","Lampe"
"Product-Title: Laptop Bag","Laptoptasche"
"Product-Title: Laptop Case","Laptop Hülle"
"Product-Title: Leather Jacket","Lederjacke"
"Product-Title: Leggings","Leggings"
"Product-Title: Long Beanie","Long Beanie"
"Product-Title: Longsleeve","Longsleeve"
"Product-Title: Magazine","Magazin"
"Product-Title: Magnet","Magnet"
"Product-Title: Mesh Shorts","Mesh Shorts"
"Product-Title: Money Box","Spardose"
"Product-Title: Mousepad","Mousepad"
"Product-Title: Mug","Tasse"
"Product-Title: Necklace","Kette"
"Product-Title: Notebook","Notizbuch"
"Product-Title: Panties","Panties"
"Product-Title: Pants","Hose"
"Product-Title: Patch","Aufnäher"
"Product-Title: Peeptoes","Peeptoes"
"Product-Title: Pen & Pen Topper","Stift mit Stiftaufsatz"
"Product-Title: Pen Topper","Stiftaufsatz"
"Product-Title: Pen","Stift"
"Product-Title: Pencil Case","Federmappe"
"Product-Title: Piercing","Piercing"
"Product-Title: Pillow","Kissen"
"Product-Title: Plectra","Plectren"
"Product-Title: Plectrum Set","Plectrum Set"
"Product-Title: Plectrum","Plectrum"
"Product-Title: Polo","Polo"
"Product-Title: Pool Float","Schwimmreifen"
"Product-Title: Poster","Poster"
"Product-Title: Pullover","Pullover"
"Product-Title: Ring Stand","Ringständer"
"Product-Title: Ring","Ring"
"Product-Title: Sandal","Sandalen"
"Product-Title: Scarf","Schal"
"Product-Title: Shirt","Hemd"
"Product-Title: Shoes","Schuhe"
"Product-Title: Shorts","Shorts"
"Product-Title: Shot Glass","Shot Glas"
"Product-Title: Shot Glasses","Shot Gläser"
"Product-Title: Skate Deck","Skate Deck"
"Product-Title: Skatedeck","Skate Deck"
"Product-Title: Skirt","Rock"
"Product-Title: Slipmat","Slipmat"
"Product-Title: Socks","Socken"
"Product-Title: Soft Toy","Plüschtier"
"Product-Title: Sticker","Sticker"
"Product-Title: Stress Controller","Stress Controller"
"Product-Title: Sunglasses","Sonnenbrille"
"Product-Title: Sweat Pants","Jogginghose"
"Product-Title: Sweater","Sweater"
"Product-Title: Swimsuit","Badeanzug"
"Product-Title: T-Shirt","T-Shirt"
"Product-Title: Tank","Tank"
"Product-Title: Tapestry","Wandteppich"
"Product-Title: Tea Cup + Saucer","Teetasse + Untertasse"
"Product-Title: Tights","Strumpfhosen"
"Product-Title: Top","Oberteil"
"Product-Title: Top","Top"
"Product-Title: Torch","Taschenlampe"
"Product-Title: Tote Bag","Stoffbeutel"
"Product-Title: Towel","Handtuch"
"Product-Title: Toy","Spielzeug"
"Product-Title: Track Jacket","Trainingsjacke"
"Product-Title: Tracksuit","Trainingsanzug"
"Product-Title: Travel Bag","Travel Bag"
"Product-Title: Travel Mug","Kaffeebecher"
"Product-Title: Trinket Box","Schminkkästchen"
"Product-Title: Truck","Achse"
"Product-Title: Umbrella","Regenschirm"
"Product-Title: Underwear","Unterwäsche"
"Product-Title: V Neck Girly","V Neck Girly"
"Product-Title: V Neck Longsleeve","V Neck Longsleeve"
"Product-Title: V Neck Pullover","V Neck Pullover"
"Product-Title: V Neck Sweater","V Neck Sweater"
"Product-Title: V Neck T-Shirt","V Neck T-Shirt"
"Product-Title: Vest","Weste"
"Product-Title: Vinyl","Vinyl"
"Product-Title: Voucher","Gutschein"
"Product-Title: Wall Shelf","Wandbord"
"Product-Title: Wallet","Portemonnaie"
"Product-Title: Washing Glove","Waschlappen"
"Product-Title: Watch","Uhr"
"Product-Title: Wheels","Räder"
"Product-Title: Windbreaker","Windbreaker"
"Product-Title: Wrapping Paper","Geschenkpapier"
"Product-Title: Wristband","Schweißband"
"Product-Title: Writing Set","Schreibset"
"Product-Title: Zip Holder","Zip Holder"
"Product-Title: Zipper","Zipper"
"Product-Title: iPhone 4 Case","iPhone 4 Hülle"
"Product-Title: iPhone 4/4S Case","iPhone 4/4S Hülle"
"Product-Title: iPhone 5 Case","iPhone 5 Hülle"
"Product-Title: iPod Classic Skin","iPod Classic Hülle"
