"Product-Title: Action Figure","Figura de acción"
"Product-Title: Air Refresher","Ambientador"
"Product-Title: Alarm Clock","Alarm Clock"
"Product-Title: Backpack","Mochila"
"Product-Title: Backpack","Mochila"
"Product-Title: Backpatch","Parche Trasero"
"Product-Title: Bag","Bolsa"
"Product-Title: Bag","Bolsa"
"Product-Title: Ballerinas","Bailarinas"
"Product-Title: Bandana","Bandana"
"Product-Title: Beanie","Beanie"
"Product-Title: Bearings","Rodamientos"
"Product-Title: Bed","Cama"
"Product-Title: Beer Glass","Jarra de cerveza"
"Product-Title: Beer Mug","Jarra de cerveza"
"Product-Title: Belt Buckle","Hebilla"
"Product-Title: Belt Pack","Belt Pack"
"Product-Title: Belt","Cinturón"
"Product-Title: Bikini Bottom","Parte de abajo de bikini"
"Product-Title: Bikini","Bikini"
"Product-Title: Blanket","Manta"
"Product-Title: Blue Ray","Blue Ray"
"Product-Title: Board Game","Juego de Mesa"
"Product-Title: Board Shorts","Board Shorts"
"Product-Title: Bolts","Tornillo"
"Product-Title: Book","Libro"
"Product-Title: Bottle Holder","Posa Botellas"
"Product-Title: Bottle Opener","Abridor de botella"
"Product-Title: Bottle","Botella"
"Product-Title: Boxershorts","Shorts de boxeo"
"Product-Title: Bracelet Set","Set de Pulseras"
"Product-Title: Bracelet","Pulsera"
"Product-Title: Breakfast Set","Set de desayuno"
"Product-Title: Button","Pin"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: Calendar","Calendario"
"Product-Title: Cap","Gorra"
"Product-Title: Card Game","Juego de Cartas"
"Product-Title: Cardigan","Cardigan"
"Product-Title: Cargo Pants","Pantalones Cargo"
"Product-Title: Chair","Silla"
"Product-Title: Chino","Chinos"
"Product-Title: Coaster Pack","Coaster Pack"
"Product-Title: Coaster","Posavasos"
"Product-Title: Coat","Abrigo"
"Product-Title: College Jacket","Chaqueta estilo universitario"
"Product-Title: Cup Set","Set de tazas"
"Product-Title: Cup","Taza"
"Product-Title: Cushion Cover","Funda de cojín"
"Product-Title: Cycling Shorts","Mallas de ciclismo cortas"
"Product-Title: DVD","DVD"
"Product-Title: Doormat","Felupudo"
"Product-Title: Dress","Vestido"
"Product-Title: Dungarees","Mono"
"Product-Title: Earmuff","Cascos"
"Product-Title: Earplug","Earplug"
"Product-Title: Earrings","Pendientes"
"Product-Title: Egg Cup & Toast Cutter","Moldes"
"Product-Title: Egg Cup","Huevera"
"Product-Title: Expander","Dilatador"
"Product-Title: Figure","Figura"
"Product-Title: Flag","Bandera"
"Product-Title: Flask","Petaca"
"Product-Title: Flesh Tunnel","Flesh Tunnel"
"Product-Title: Foam Hand","Mano de gomaespuma"
"Product-Title: Fridge Magnet","Imán de Nevera"
"Product-Title: Gift Pack","Pack de regalo"
"Product-Title: Girl Beanie","Beanie de chica"
"Product-Title: Girl Belt","Cinturón de chica"
"Product-Title: Girl College Jacket","Chaqueta estilo universitario para chica"
"Product-Title: Girl Hooded College Jacket","Chaqueta estilo universitario con capucha para chica"
"Product-Title: Girl Hoodie","Sudadera para chica"
"Product-Title: Girl Jacket","Chaqueta de chica"
"Product-Title: Girl Jacket","Chaqueta de entretiempo para chica"
