"Product-Title: Action Figure","Actionfiguuri"
"Product-Title: Air Refresher","Ilmanraikastin"
"Product-Title: Alarm Clock","Alarm Clock"
"Product-Title: Backpack","Selkäreppu"
"Product-Title: Backpack","Selkäreppu"
"Product-Title: Backpatch","Backpatch"
"Product-Title: Bag","Laukku"
"Product-Title: Bag","Laukku"
"Product-Title: Ballerinas","Ballerinat"
"Product-Title: Bandana","Bandana"
"Product-Title: Beanie","Pipo"
"Product-Title: Bearings","Bearings"
"Product-Title: Bed","Sänky"
"Product-Title: Beer Glass","Olutmuki"
"Product-Title: Beer Mug","Olutmukit"
"Product-Title: Belt Buckle","Vyönsolki"
"Product-Title: Belt Pack","Vyölaukku"
"Product-Title: Belt","Vyö"
"Product-Title: Bikini Bottom","Bikinin alaosa"
"Product-Title: Bikini","Bikini"
"Product-Title: Blanket","Huopa"
"Product-Title: Blue Ray","Blue-Ray"
"Product-Title: Board Game","Lautapeli"
"Product-Title: Board Shorts","Surffi shortsit"
"Product-Title: Bolts","Tikat"
"Product-Title: Book","Kirja"
"Product-Title: Bottle Holder","Pullonpidin"
"Product-Title: Bottle Opener","Pulloavaaja"
"Product-Title: Bottle","Pullo"
"Product-Title: Boxershorts","Bokserishortsit"
"Product-Title: Bracelet Set","Rannekorusetti"
"Product-Title: Bracelet","Rannekoru"
"Product-Title: Breakfast Set","Aamupala-setti"
"Product-Title: Button","Nappi"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: Calendar","Kalenteri"
"Product-Title: Cap","Lippis"
"Product-Title: Card Game","Korttipeli"
"Product-Title: Cardigan","Neuletakki"
"Product-Title: Cargo Pants","Cargo housut"
"Product-Title: Chair","Tuoli"
"Product-Title: Chino","Chinot"
"Product-Title: Coaster Pack","Coaster Pack"
"Product-Title: Coaster","Lasinalunen"
"Product-Title: Coat","Turkki"
"Product-Title: College Jacket","College-takki"
"Product-Title: Cup Set","Mukisetti"
"Product-Title: Cup","Muki"
"Product-Title: Cushion Cover","Tyynynpäällinen"
"Product-Title: Cycling Shorts","Pyöräilyshortsit"
"Product-Title: DVD","DVD"
"Product-Title: Doormat","Ovimatto"
"Product-Title: Dress","Mekko"
"Product-Title: Dungarees","Henkselihousut"
"Product-Title: Earmuff","kupusuojain"
"Product-Title: Earplug","Korvaplugi"
"Product-Title: Earrings","Korvakoru"
"Product-Title: Egg Cup & Toast Cutter","Munakuppi & Leipäleikkuri"
"Product-Title: Egg Cup","Munakuppi"
"Product-Title: Expander","Venyttäjä"
"Product-Title: Figure","Figuuri"
"Product-Title: Flag","Lippu"
"Product-Title: Flask","Taskumatti"
"Product-Title: Flesh Tunnel","Flesh Tunnel"
"Product-Title: Foam Hand","Vaahtomuovi käsi"
"Product-Title: Fridge Magnet","Jääkaappimagneetti"
"Product-Title: Gift Pack","Lahja paketti"
"Product-Title: Girl Beanie","Naisten pipo"
"Product-Title: Girl Belt","Naisten vyö"
"Product-Title: Girl College Jacket","Naisten College-takki"
"Product-Title: Girl Hooded College Jacket","Naisten hupullinen College-takki"
"Product-Title: Girl Hoodie","Naisten huppari"
"Product-Title: Girl Jacket","Naisten takki"
"Product-Title: Girl Jacket","Naisten takki"
"Product-Title: Girl Jeans Jacket","Naisten farkkutakki"
"Product-Title: Girl Jeans","Naisten farkut"
"Product-Title: Girl Leather Jacket","Naisten nahkatakki"
"Product-Title: Girl Leggings","Naisten leggingsit"
"Product-Title: Girl Longsleeve","Naisten pitkähihainen"
"Product-Title: Girl Pants","Naisten housut"
"Product-Title: Girl Polo","Naisten Polo"
"Product-Title: Girl Pullover","Naisten villapusero"
"Product-Title: Girl Sandals","Naisten sandaalit"
"Product-Title: Girl Shirt","Naisten paita"
"Product-Title: Girl Shoes","Naisten kengät"
"Product-Title: Girl Shorts","Naisten shortsit"
"Product-Title: Girl Sweater","Naisten villapaita"
"Product-Title: Girl Tank","Naisten hihaton"
"Product-Title: Girl Track Jacket","Naisten verryttelytakki"
"Product-Title: Girl V Neck Longsleeve","Naisten V-aukkoinen pitkähihainen t-paita"
"Product-Title: Girl V Neck Pullover","Naisten V-aukkoinen villapusero"
"Product-Title: Girl V Neck Sweater","Naisten V-aukkoinen villapaita"
"Product-Title: Girl Zipper","Naisten vetoketju huppari"
"Product-Title: Girly","Naisellinen"
"Product-Title: Glass","Lasi"
"Product-Title: Gloves","Hanskat"
"Product-Title: Goblet","Goblet"
"Product-Title: Hair Clip","Hiusklipsi"
"Product-Title: Headphones","Korvakuulokkeet"
"Product-Title: Heels","Korot"
"Product-Title: Hip Bag","Lantiolaukku"
"Product-Title: Hipbag","Lantiolaukku"
"Product-Title: Hooded Cardigan","Hupullinen neuletakki"
"Product-Title: Hooded College Jacket","College-takki hupulla"
"Product-Title: Hooded Girl Shirt","Naisten hupullinen paita"
"Product-Title: Hooded Shirt","Hupullinen paita"
"Product-Title: Hoodie","Huppari"
"Product-Title: Hotpants","Hotpants"
"Product-Title: Ice Mould","Ice Mould"
"Product-Title: Jacket","Takki"
"Product-Title: Jeans Jacket","Farkkutakki"
"Product-Title: Jeans","Farkut"
"Product-Title: Jersey","Takki"
"Product-Title: Jigsaw Puzzle","Palapeli"
"Product-Title: Jumpsuit","Jumpsuit haalari"
"Product-Title: Keychain","Avaimenperä"
"Product-Title: Lamp","Lamppu"
"Product-Title: Laptop Bag","Tietokonelaukku"
"Product-Title: Laptop Case","Kannettavan laukku"
"Product-Title: Leather Jacket","Nahkatakki"
"Product-Title: Leggings","Leggingsit"
"Product-Title: Long Beanie","Pipo"
"Product-Title: Longsleeve","Pitkähihainen t-paita"
"Product-Title: Magazine","Lehti"
"Product-Title: Magnet","Magneetti"
"Product-Title: Mesh Shorts","Mesh shortsit"
"Product-Title: Money Box","Money Box"
"Product-Title: Mousepad","Mousepad"
"Product-Title: Mug","Muki"
"Product-Title: Necklace","Kaulakoru"
"Product-Title: Notebook","Vihko"
"Product-Title: Panties","Housut"
"Product-Title: Pants","Housut"
"Product-Title: Patch","Patch"
"Product-Title: Peeptoes","Peeptoes"
"Product-Title: Pen & Pen Topper","Pen & Pen Topper"
"Product-Title: Pen Topper","Pen Topper"
"Product-Title: Pen","Pen"
"Product-Title: Pencil Case","Penaali"
"Product-Title: Piercing","Lävistys"
"Product-Title: Pillow","Tyyny"
"Product-Title: Plectra","Plektrat"
"Product-Title: Plectrum Set","Plectrum Setti"
"Product-Title: Plectrum","Plektra"
"Product-Title: Polo","Polo"
"Product-Title: Pool Float","Uimapatja"
"Product-Title: Poster","Juliste"
