"Product-Title: Action Figure","Figurine Articulée"
"Product-Title: Air Refresher","Purificaeur d'air"
"Product-Title: Alarm Clock","Alarm Clock"
"Product-Title: Backpack","Sac a dos"
"Product-Title: Backpack","Sac à dos"
"Product-Title: Backpatch","Patch dorsal"
"Product-Title: Bag","Sac"
"Product-Title: Bag","Sac"
"Product-Title: Ballerinas","Ballerines"
"Product-Title: Bandana","Bandana"
"Product-Title: Beanie","Bonnet"
"Product-Title: Bearings","Roulements"
"Product-Title: Bed","Lit"
"Product-Title: Beer Glass","Verre à bière"
"Product-Title: Beer Mug","Chope à bière"
"Product-Title: Belt Buckle","Boucle de ceinture"
"Product-Title: Belt Pack","Belt Pack"
"Product-Title: Belt","Ceinture"
"Product-Title: Bikini Bottom","Culotte de bikini"
"Product-Title: Bikini","Bikini"
"Product-Title: Blanket","Couverture"
"Product-Title: Blue Ray","Blu-ray"
"Product-Title: Board Game","Jeux de société"
"Product-Title: Board Shorts","Shorts de bain"
"Product-Title: Bolts","Vis"
"Product-Title: Book","Livre"
"Product-Title: Bottle Holder","Porte bouteille"
"Product-Title: Bottle Opener","Décapsuleur"
"Product-Title: Bottle","Bouteille"
"Product-Title: Boxershorts","Boxers"
"Product-Title: Bracelet Set","Set de bracelets"
"Product-Title: Bracelet","Bracelet"
"Product-Title: Breakfast Set","Set de petit déjeuner"
"Product-Title: Button","Badge"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: Calendar","Calendrier"
"Product-Title: Cap","Casquette"
"Product-Title: Card Game","Jeu de cartes"
"Product-Title: Cardigan","Cardigan"
"Product-Title: Cargo Pants","Pantalons Cargo"
"Product-Title: Chair","Chaise"
"Product-Title: Chino","Chino"
"Product-Title: Coaster Pack","Pack de sous-verres"
"Product-Title: Coaster","Sous-verre"
"Product-Title: Coat","Manteau"
"Product-Title: College Jacket","Teddy"
"Product-Title: Cup Set","Ensemble de tasses"
"Product-Title: Cup","Tasse"
"Product-Title: Cushion Cover","Taie d'oreiller"
"Product-Title: Cycling Shorts","Shorts cyclistes"
"Product-Title: DVD","DVD"
"Product-Title: Doormat","Paillasson"
"Product-Title: Dress","Robe"
"Product-Title: Dungarees","Salopettes"
"Product-Title: Earmuff","Casque"
"Product-Title: Earplug","Plug"
"Product-Title: Earrings","Boucles d'oreilles"
"Product-Title: Egg Cup & Toast Cutter","Coquetier et moule à toasts"
"Product-Title: Egg Cup","Coquetier"
"Product-Title: Expander","Ecarteur"
"Product-Title: Figure","Figurine"
"Product-Title: Flag","Drapeau"
"Product-Title: Flask","Flasque"
"Product-Title: Flesh Tunnel","Ecarteur"
"Product-Title: Foam Hand","Foam Hand"
