"Product-Title: Action Figure","Action figure"
"Product-Title: Air Refresher","Rinfrescatore d'aria"
"Product-Title: Alarm Clock","Alarm Clock"
"Product-Title: Backpack","Zaino"
"Product-Title: Backpack","Zaino"
"Product-Title: Backpatch","Backpatch"
"Product-Title: Bag","Borsa"
"Product-Title: Bag","Borsa"
"Product-Title: Ballerinas","Ballerine"
"Product-Title: Bandana","Bandana"
"Product-Title: Beanie","Berretto"
"Product-Title: Bearings","Cuscinetti"
"Product-Title: Bed","Letto"
"Product-Title: Beer Glass","Bicchiere da birra"
"Product-Title: Beer Mug","Bicchieri da birra"
"Product-Title: Belt Buckle","Fibbia da cintura"
"Product-Title: Belt Pack","Marsupio"
"Product-Title: Belt","Cintura"
"Product-Title: Bikini Bottom","Slip"
"Product-Title: Bikini","Bikini"
"Product-Title: Blanket","Lenzuola"
"Product-Title: Blue Ray","Blue Ray"
"Product-Title: Board Game","Gioco da tavolo"
"Product-Title: Board Shorts","Board Shorts"
"Product-Title: Bolts","Viti"
"Product-Title: Book","Libro"
"Product-Title: Bottle Holder","Portabottiglia"
"Product-Title: Bottle Opener","Apribottiglie"
"Product-Title: Bottle","Bottiglia"
"Product-Title: Boxershorts","Boxer"
"Product-Title: Bracelet Set","Braccialetto"
"Product-Title: Bracelet","Braccialetto"
"Product-Title: Breakfast Set","Set da colazione"
"Product-Title: Button","Bottone"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: Calendar","Calendario"
"Product-Title: Cap","Cappello"
"Product-Title: Card Game","Gioco di carte"
"Product-Title: Cardigan","Cardigan"
"Product-Title: Cargo Pants","Pantaloni cargo"
"Product-Title: Chair","Sedia"
"Product-Title: Chino","Chino"
"Product-Title: Coaster Pack","Confezione di sottobicchieri"
"Product-Title: Coaster","Sottobicchieri"
"Product-Title: Coat","Cappotto"
"Product-Title: College Jacket","Giacca college"
"Product-Title: Cup Set","Set di tazze"
"Product-Title: Cup","Tazza"
"Product-Title: Cushion Cover","Federa del cuscino"
"Product-Title: Cycling Shorts","Pantaloncini da ciclista"
"Product-Title: DVD","DVD"
"Product-Title: Doormat","Zerbino"
"Product-Title: Dress","Vestito"
"Product-Title: Dungarees","Salopette"
"Product-Title: Earmuff","Paraorecchi"
"Product-Title: Earplug","Dilatatori lobo"
"Product-Title: Earrings","Orecchini"
"Product-Title: Egg Cup & Toast Cutter","Portauova e taglia toast"
"Product-Title: Egg Cup","Portauova"
"Product-Title: Expander","Expander"
"Product-Title: Figure","Figura"
"Product-Title: Flag","Bandiera"
"Product-Title: Flask","Fiaschetta"
"Product-Title: Flesh Tunnel","Flesh Tunnel"
"Product-Title: Foam Hand","Mano di gommapiuma"
"Product-Title: Fridge Magnet","Magnete da frigo"
"Product-Title: Gift Pack","Pacchetto regalo"
"Product-Title: Girl Beanie","Berretto da donna"
"Product-Title: Girl Belt","Cintura da donna"
"Product-Title: Girl College Jacket","Giacca college da donna"
"Product-Title: Girl Hooded College Jacket","Giacca college con cappuccio da donna"
"Product-Title: Girl Hoodie","Felpa con cappuccio da donna"
"Product-Title: Girl Jacket","Giacca da donna"
"Product-Title: Girl Jacket","Giacca da donna"
"Product-Title: Girl Jeans Jacket","Giacca di jeans da donna"
"Product-Title: Girl Jeans","Jeans da donna"
"Product-Title: Girl Leather Jacket","Giacca di pelle da donna"
"Product-Title: Girl Leggings","Leggings da donna"
"Product-Title: Girl Longsleeve","T-Shirt a maniche lunghe da donna"
"Product-Title: Girl Pants","Pantaloni da donna"
"Product-Title: Girl Polo","Polo da donna"
"Product-Title: Girl Pullover","Pullover da donna"
"Product-Title: Girl Sandals","Sandali da donna"
"Product-Title: Girl Shirt","Camicia da donna"
"Product-Title: Girl Shoes","Scarpe da donna"
"Product-Title: Girl Shorts","Shorts"
"Product-Title: Girl Sweater","Felpa da donna"
"Product-Title: Girl Tank","Canotta da donna"
"Product-Title: Girl Track Jacket","Giacca della tuta da donna"
"Product-Title: Girl V Neck Longsleeve","T-Shirt a maniche lunghe da donna con scollo a v"
"Product-Title: Girl V Neck Pullover","Pullover con scollo a v da donna"
"Product-Title: Girl V Neck Sweater","Felpa con scollo a v da donna"
"Product-Title: Girl Zipper","Felpa con zip da donna"
