"Product-Title: Action Figure","actiefiguur"
"Product-Title: Air Refresher","Luchtverfrisser"
"Product-Title: Alarm Clock","Alarm Clock"
"Product-Title: Backpack","Rugtas"
"Product-Title: Backpack","Rugtassen"
"Product-Title: Backpatch","backpatch"
"Product-Title: Bag","Tas"
"Product-Title: Bag","Tas"
"Product-Title: Ballerinas","Ballerinas"
"Product-Title: Bandana","bandana"
"Product-Title: Beanie","Muts"
"Product-Title: Bearings","bearings"
"Product-Title: Bed","bed"
"Product-Title: Beer Glass","bierglas"
"Product-Title: Beer Mug","bierpul"
"Product-Title: Belt Buckle","Gesp"
"Product-Title: Belt Pack","Belt Pack"
"Product-Title: Belt","Riem"
"Product-Title: Bikini Bottom","Bikinibroekjes"
"Product-Title: Bikini","Bikinis"
"Product-Title: Blanket","deken"
"Product-Title: Blue Ray","Blu-Ray"
"Product-Title: Board Game","Bordspel"
"Product-Title: Board Shorts","Zwemshorts"
"Product-Title: Bolts","schroeven"
"Product-Title: Book","Boek"
"Product-Title: Bottle Holder","Flessenhouder"
"Product-Title: Bottle Opener","flessenopener"
"Product-Title: Bottle","fles"
"Product-Title: Boxershorts","boxershorts"
"Product-Title: Bracelet Set","Armbandenset"
"Product-Title: Bracelet","Armbanden"
"Product-Title: Breakfast Set","Ontbijtset"
"Product-Title: Button","button"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: Calendar","Kalender"
"Product-Title: Cap","Cap"
"Product-Title: Card Game","Kaartspel"
"Product-Title: Cardigan","Cardigan"
"Product-Title: Cargo Pants","Cargo Broek"
"Product-Title: Chair","stoel"
"Product-Title: Chino","Chinos"
"Product-Title: Coaster Pack","onderzetterset"
"Product-Title: Coaster","onderzetter"
"Product-Title: Coat","Overjas"
"Product-Title: College Jacket","College Jack"
"Product-Title: Cup Set","bekerset"
"Product-Title: Cup","beker"
"Product-Title: Cushion Cover","Kussensloop"
"Product-Title: Cycling Shorts","Fietsbroekje"
"Product-Title: DVD","DVD"
"Product-Title: Doormat","deurmat"
"Product-Title: Dress","Jurke"
"Product-Title: Dungarees","Overalls"
