"Product-Title: Action Figure","Figurka"
"Product-Title: Air Refresher","Air Refresher"
"Product-Title: Alarm Clock","Alarm Clock"
"Product-Title: Backpack","Plecak"
"Product-Title: Backpack","Plecak"
"Product-Title: Backpatch","Ekran"
"Product-Title: Bag","Torba"
"Product-Title: Bag","Torba"
"Product-Title: Ballerinas","Baleriny"
"Product-Title: Bandana","Bandana"
"Product-Title: Beanie","Beanie"
"Product-Title: Bearings","Łożyska"
"Product-Title: Bed","Łóżko"
"Product-Title: Beer Glass","Kufel do piwa"
"Product-Title: Beer Mug","Kufel do piwa"
"Product-Title: Belt Buckle","Klamra do paska"
"Product-Title: Belt Pack","Zestaw pasków"
"Product-Title: Belt","Pasek"
"Product-Title: Bikini Bottom","Dół bikini"
"Product-Title: Bikini","Bikini"
"Product-Title: Blanket","Koc"
"Product-Title: Blue Ray","Blu Ray"
"Product-Title: Board Game","Board Game"
"Product-Title: Board Shorts","Spodenki plażowe"
"Product-Title: Bolts","Śruby"
"Product-Title: Book","Książka"
"Product-Title: Bottle Holder","Bottle Holder"
"Product-Title: Bottle Opener","Otwieracz do butelek"
"Product-Title: Bottle","Butelka"
"Product-Title: Boxershorts","Bokserki"
"Product-Title: Bracelet Set","Bracelet Set"
"Product-Title: Bracelet","Bransoletka"
"Product-Title: Breakfast Set","Breakfast Set"
"Product-Title: Button","Przypinka"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: Calendar","Kalendarz"
"Product-Title: Cap","Czapka"
"Product-Title: Card Game","Card Game"
"Product-Title: Cardigan","Cardigan"
"Product-Title: Cargo Pants","Bojówki"
"Product-Title: Chair","Krzesło"
"Product-Title: Chino","Chinos"
"Product-Title: Coaster Pack","Zestaw podkładek"
"Product-Title: Coaster","Podkładka pod kubek"
"Product-Title: Coat","Płaszcz"
"Product-Title: College Jacket","Kurtka bejsolówka"
"Product-Title: Cup Set","Zestaw kubków"
"Product-Title: Cup","Szklanka"
"Product-Title: Cushion Cover","Cushion Cover"
"Product-Title: Cycling Shorts","Cycling Shorts"
"Product-Title: DVD","DVD"
"Product-Title: Doormat","Wycieraczka"
"Product-Title: Dress","Sukienka"
"Product-Title: Dungarees","Dungarees"
"Product-Title: Earmuff","Nauszniki"
"Product-Title: Earplug","Earplug"
"Product-Title: Earrings","Kolczyki"
"Product-Title: Egg Cup & Toast Cutter","Kieliszek do jajka i krajalnica do tostów"
"Product-Title: Egg Cup","Kieliszek na jajko"
"Product-Title: Expander","Expander"
"Product-Title: Figure","Figurka"
"Product-Title: Flag","Flaga"
"Product-Title: Flask","Piersiówka"
"Product-Title: Flesh Tunnel","Tunel"
"Product-Title: Foam Hand","Piankowa ręka"
"Product-Title: Fridge Magnet","Fridge Magnet"
"Product-Title: Gift Pack","Zestaw prezentowy"
"Product-Title: Girl Beanie","Damskie beanie"
"Product-Title: Girl Belt","Damski pasek"
"Product-Title: Girl College Jacket","Damska kurtka bejsbolówka"
"Product-Title: Girl Hooded College Jacket","Damska kurtka bejsbolówka z kapturem"
"Product-Title: Girl Hoodie","Damska bluza z kapturem"
"Product-Title: Girl Jacket","Damska kurtka"
"Product-Title: Girl Jacket","Damska kurtka"
"Product-Title: Girl Jeans Jacket","Damska kurtka jeansowa"
"Product-Title: Girl Jeans","Damskie jeansy"
"Product-Title: Girl Leather Jacket","Damska kurtka skórzana"
"Product-Title: Girl Leggings","Damskie legginsy"
"Product-Title: Girl Longsleeve","Damski longsleeve"
"Product-Title: Girl Pants","Damskie spodnie"
"Product-Title: Girl Polo","Damskie polo"
"Product-Title: Girl Pullover","Damski sweter"
"Product-Title: Girl Sandals","Damskie sandały"
"Product-Title: Girl Shirt","Damska koszula"
"Product-Title: Girl Shoes","Damskie buty"
"Product-Title: Girl Shorts","Damskie szorty"
"Product-Title: Girl Sweater","Damska bluza"
"Product-Title: Girl Tank","Damski tanktop"
"Product-Title: Girl Track Jacket","Damska kurtka sportowa"
"Product-Title: Girl V Neck Longsleeve","Damski V-neck longsleeve"
