"Product-Title: Action Figure","Figura de ação"
"Product-Title: Air Refresher","Purificador de ar"
"Product-Title: Alarm Clock","Alarm Clock"
"Product-Title: Backpack","Mochila"
"Product-Title: Backpack","Mochila"
"Product-Title: Backpatch","Backpatch"
"Product-Title: Bag","Bolsa"
"Product-Title: Bag","Mala"
"Product-Title: Ballerinas","Ballerinas"
"Product-Title: Bandana","Lenço"
"Product-Title: Beanie","Gorro"
"Product-Title: Bearings","Rolamentos"
"Product-Title: Bed","Cama"
"Product-Title: Beer Glass","Copo de cerveja"
"Product-Title: Beer Mug","Canecas de cerveja"
"Product-Title: Belt Buckle","Fivela"
"Product-Title: Belt Pack","Bolsas de Cintura"
"Product-Title: Belt","Cinto"
"Product-Title: Bikini Bottom","Bikini Bottom"
"Product-Title: Bikini","Bikini"
"Product-Title: Blanket","Cobertor"
"Product-Title: Blue Ray","Blue Ray"
"Product-Title: Board Game","Jogo de tabuleiro"
"Product-Title: Board Shorts","Board Shorts"
"Product-Title: Bolts","Parafusos"
"Product-Title: Book","Livro"
"Product-Title: Bottle Holder","Suporte de garrafa"
"Product-Title: Bottle Opener","Abre-garrafas"
"Product-Title: Bottle","Garrafa"
"Product-Title: Boxershorts","Boxer"
"Product-Title: Bracelet Set","Conjunto de pulseira"
"Product-Title: Bracelet","Bracelete"
"Product-Title: Breakfast Set","Conjunto de pequeno-almoço"
"Product-Title: Button","Botão"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: Calendar","Calendário"
"Product-Title: Cap","Chapéu"
"Product-Title: Card Game","Jogo de cartas"
"Product-Title: Cardigan","Cardigan"
"Product-Title: Cargo Pants","Calças Cargo"
"Product-Title: Chair","Cadeira"
"Product-Title: Chino","Chino"
"Product-Title: Coaster Pack","Pack de bases"
"Product-Title: Coaster","Porta copos"
"Product-Title: Coat","Casaco"
"Product-Title: College Jacket","Casaco Universitário"
"Product-Title: Cup Set","Conjunto de copos"
"Product-Title: Cup","Taça"
"Product-Title: Cushion Cover","Fronha"
"Product-Title: Cycling Shorts","Calções de ciclismo"
"Product-Title: DVD","DVD"
"Product-Title: Doormat","Tapete"
"Product-Title: Dress","Vestido"
"Product-Title: Dungarees","Macacão"
"Product-Title: Earmuff","Earmuff"
"Product-Title: Earplug","Earplug"
"Product-Title: Earrings","Brincos"
"Product-Title: Egg Cup & Toast Cutter","Copo para ovo e corta tostas"
"Product-Title: Egg Cup","Copo para ovo"
"Product-Title: Expander","Alargadores"
"Product-Title: Figure","Figura"
"Product-Title: Flag","Bandeira"
"Product-Title: Flask","Frasco"
"Product-Title: Flesh Tunnel","Flesh Tunnel"
"Product-Title: Foam Hand","Foam Hand"
"Product-Title: Fridge Magnet","Íman para o frigorífico"
"Product-Title: Gift Pack","Pack Presente"
"Product-Title: Girl Beanie","Gorro de Mulher"
"Product-Title: Girl Belt","Cinto de Rapariga"
"Product-Title: Girl College Jacket","Casaco Universitário de Mulher"
"Product-Title: Girl Hooded College Jacket","Casaco Universitário com Capucho de Mulher"
"Product-Title: Girl Hoodie","Hoodie de Mulher"
"Product-Title: Girl Jacket","Casaco de Mulher"
"Product-Title: Girl Jacket","Casaco de Mulher"
"Product-Title: Girl Jeans Jacket","Casaco de Mulher Jeans"
"Product-Title: Girl Jeans","Jeans de Mulher"
"Product-Title: Girl Leather Jacket","Casaco de Cabedal de Mulher"
"Product-Title: Girl Leggings","Leggings de Mulher"
"Product-Title: Girl Longsleeve","Girl Longsleeve"
"Product-Title: Girl Pants","Calças de Mulher"
"Product-Title: Girl Polo","Polo de Mulher"
"Product-Title: Girl Pullover","Pullover de Mulher"
"Product-Title: Girl Sandals","Sandálias de Mulher"
"Product-Title: Girl Shirt","Shirt de Mulher"
"Product-Title: Girl Shoes","Sapatos de Mulher"
"Product-Title: Girl Shorts","Calções de Mulher"
"Product-Title: Girl Sweater","Camisola de Mulher"
"Product-Title: Girl Tank","Girl Tank"
"Product-Title: Girl Track Jacket","Casaco de Treino de Mulher"
"Product-Title: Girl V Neck Longsleeve","Girl V Neck Longsleeve"
"Product-Title: Girl V Neck Pullover","V Neck Pullover de Mulher"
"Product-Title: Girl V Neck Sweater","Camisola V Neck de Mulher"
"Product-Title: Girl Zipper","Zipper de Mulher"
"Product-Title: Girly","Girly"
"Product-Title: Glass","Copo"
"Product-Title: Gloves","Luvas"
"Product-Title: Goblet","Goblet"
"Product-Title: Hair Clip","Gancho de cabelo"
"Product-Title: Headphones","Headphones"
"Product-Title: Heels","Saltos Altos"
"Product-Title: Hip Bag","Bolça"
"Product-Title: Hipbag","Hipbag"
"Product-Title: Hooded Cardigan","Cardigan com Capucho"
"Product-Title: Hooded College Jacket","Casaco Universitário com Capucho"
"Product-Title: Hooded Girl Shirt","Shirt com Capunho de Mulher"
"Product-Title: Hooded Shirt","Shirt com Capucho"
"Product-Title: Hoodie","Hoodie"
"Product-Title: Hotpants","Hotpants"
"Product-Title: Ice Mould","Ice Mould"
"Product-Title: Jacket","Casaco"
"Product-Title: Jeans Jacket","Casaco Jeans"
"Product-Title: Jeans","Jeans"
"Product-Title: Jersey","Jersey"
"Product-Title: Jigsaw Puzzle","Puzzle"
"Product-Title: Jumpsuit","Macacão"
"Product-Title: Keychain","Porta-Chaves"
"Product-Title: Lamp","Lâmpada"
"Product-Title: Laptop Bag","Mala Portátil"
"Product-Title: Laptop Case","Mala Portátil"
"Product-Title: Leather Jacket","Casaco de Cabedal"
"Product-Title: Leggings","Leggings"
"Product-Title: Long Beanie","Gorro Longo"
"Product-Title: Longsleeve","Longsleeve"
"Product-Title: Magazine","Revista"
"Product-Title: Magnet","Íman"
"Product-Title: Mesh Shorts","Calçoes de rede"
"Product-Title: Money Box","Money Box"
"Product-Title: Mousepad","Mousepad"
"Product-Title: Mug","Caneca"
"Product-Title: Necklace","Colar"
"Product-Title: Notebook","Caderno"
"Product-Title: Panties","Cuecas"
"Product-Title: Pants","Calças"
"Product-Title: Patch","Patch"
"Product-Title: Peeptoes","Peeptoes"
"Product-Title: Pen & Pen Topper","Pen & Pen Topper"
"Product-Title: Pen Topper","Pen Topper"
"Product-Title: Pen","Pen"
"Product-Title: Pencil Case","Caixa de Lápis"
"Product-Title: Piercing","Piercing"
"Product-Title: Pillow","Almofada"
"Product-Title: Plectra","Palhetas"
"Product-Title: Plectrum Set","Conjunto de palhetas"
"Product-Title: Plectrum","Palheta"
"Product-Title: Polo","Polo"
"Product-Title: Pool Float","Boia para a piscina"
"Product-Title: Poster","Poster"
"Product-Title: Pullover","Pullover"
"Product-Title: Ring Stand","Guarda anéis"
