"Product-Title: Action Figure","Actionfigur"
"Product-Title: Air Refresher","Luftrenare"
"Product-Title: Alarm Clock","Alarm Clock"
"Product-Title: Backpack","Ryggsäck"
"Product-Title: Backpack","Ryggsäck"
"Product-Title: Backpatch","backpatch"
"Product-Title: Bag","Väska"
"Product-Title: Bag","Väska"
"Product-Title: Ballerinas","Ballerinas"
"Product-Title: Bandana","Bandana"
"Product-Title: Beanie","Mössa"
"Product-Title: Bearings","Kullager"
"Product-Title: Bed","Säng"
"Product-Title: Beer Glass","Ölglas"
"Product-Title: Beer Mug","Ölstop"
"Product-Title: Belt Buckle","Bältesspänne"
"Product-Title: Belt Pack","Belt Pack"
"Product-Title: Belt","Bälte"
"Product-Title: Bikini Bottom","Bikiniunderdel"
"Product-Title: Bikini","Bikini"
"Product-Title: Blanket","Filt"
"Product-Title: Blue Ray","Blue-Ray"
"Product-Title: Board Game","Sällskapsspel"
"Product-Title: Board Shorts","Surfshorts"
"Product-Title: Bolts","Bultar"
"Product-Title: Book","Bok"
"Product-Title: Bottle Holder","Flaskhållare"
"Product-Title: Bottle Opener","Kapsylöppnare"
"Product-Title: Bottle","Flaska"
"Product-Title: Boxershorts","Boxershorts"
"Product-Title: Bracelet Set","Armbandsset"
"Product-Title: Bracelet","Armband"
"Product-Title: Breakfast Set","Frukostset"
"Product-Title: Button","Knapp"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: Calendar","Kalender"
"Product-Title: Cap","Keps"
"Product-Title: Card Game","Kortlek"
"Product-Title: Cardigan","Cardigan"
"Product-Title: Cargo Pants","Cargo-byxor"
"Product-Title: Chair","Stol"
"Product-Title: Chino","Chinos"
"Product-Title: Coaster Pack","Underläggspaket"
"Product-Title: Coaster","Underlägg"
"Product-Title: Coat","Kappa"
"Product-Title: College Jacket","collegejacka"
"Product-Title: Cup Set","Muggset"
"Product-Title: Cup","Mugg"
"Product-Title: Cushion Cover","Kuddfodral"
"Product-Title: Cycling Shorts","Cykelshorts"
"Product-Title: DVD","DVD"
"Product-Title: Doormat","Dörrmatta"
"Product-Title: Dress","Klänning"
"Product-Title: Dungarees","Blåställ"
"Product-Title: Earmuff","Öronmuffar"
"Product-Title: Earplug","Öronplugg"
"Product-Title: Earrings","Örhängen"
"Product-Title: Egg Cup & Toast Cutter","Äggkopp & Brödskivare"
"Product-Title: Egg Cup","Äggkopp"
"Product-Title: Expander","Expander"
"Product-Title: Figure","Figur"
"Product-Title: Flag","Flagga"
"Product-Title: Flask","Plunta"
"Product-Title: Flesh Tunnel","Flesh Tunnel"
"Product-Title: Foam Hand","Foam Hand"
"Product-Title: Fridge Magnet","Kylskåpsmagnet"
"Product-Title: Gift Pack","Presentförpackning"
"Product-Title: Girl Beanie","Mössa tjej"
"Product-Title: Girl Belt","Bälte tjej"
"Product-Title: Girl College Jacket","collegejacka tjej"
"Product-Title: Girl Hooded College Jacket","collegejacka med huva tjej"
"Product-Title: Girl Hoodie","Huvtröja tjej"
"Product-Title: Girl Jacket","Jacka tjej"
"Product-Title: Girl Jacket","jacka tjej"
"Product-Title: Girl Jeans Jacket","Jeansjacka tjej"
"Product-Title: Girl Jeans","Jeans tjej"
"Product-Title: Girl Leather Jacket","Skinnjacka tjej"
"Product-Title: Girl Leggings","Girl Leggings"
"Product-Title: Girl Longsleeve","Långärmad T-shirt tjej"
"Product-Title: Girl Pants","Byxor tjej"
"Product-Title: Girl Polo","Girl Polo"
"Product-Title: Girl Pullover","Pullover tjej"
"Product-Title: Girl Sandals","Sandaler tjej"
"Product-Title: Girl Shirt","Skjorta tjej"
"Product-Title: Girl Shoes","Skor för tjejer"
"Product-Title: Girl Shorts","Shorts tjej"
"Product-Title: Girl Sweater","Tröja tjej"
"Product-Title: Girl Tank","Linne för tjejer"
"Product-Title: Girl Track Jacket","Träningsjacka tjej"
"Product-Title: Girl V Neck Longsleeve","V-neck långärmad T-shirt tjej"
"Product-Title: Girl V Neck Pullover","V-neck pullover tjej"
"Product-Title: Girl V Neck Sweater","V-neck tröja tjej"
"Product-Title: Girl Zipper","Huvtröja med dragkedja tjej"
"Product-Title: Girly","Tjej"
"Product-Title: Glass","Glas"
"Product-Title: Gloves","Handske"
"Product-Title: Goblet","Goblet"
"Product-Title: Hair Clip","Hårklippa"
"Product-Title: Headphones","Hörlurar"
"Product-Title: Heels","Högklackade skor"
"Product-Title: Hip Bag","Magväska"
"Product-Title: Hipbag","Magväska"
"Product-Title: Hooded Cardigan","Cadrigan med huva"
"Product-Title: Hooded College Jacket","collegejacka med huva"
"Product-Title: Hooded Girl Shirt","Skjorta med huva tjej"
"Product-Title: Hooded Shirt","Skjorta med huva"
"Product-Title: Hoodie","Huvtröja"
"Product-Title: Hotpants","Hotpants"
