"Default: Accessories","Accessoires"
"Default: Backpacks","Sac à Dos"
"Default: Bags","Sacs"
"Default: Ballerinas","Ballerines"
"Default: Beanies & Scarfs","Bonnets & Écharpes"
"Default: Beanies","Bonnets"
"Default: Belts","Ceintures"
"Default: Bracelets","Bracelets"
"Default: Calendars","Calendriers"
"Default: Caps & Beanies","Casquettes & Bonnets"
"Default: Caps","Casquettes"
"Default: Cardigans","Cardigans"
"Default: Cargo Pants","Pantalons Cargo"
"Default: Cases","Étuis"
"Default: Click here","Cliquez ici"
"Default: Coats","Manteaux"
"Default: College Jackets","Vestes College"
"Default: Dresses","Robes"
"Default: Flags","Drapeaux"
"Default: For free","Gratuit"
"Default: Gloves","Gants"
"Default: Headphones","Casques Audio"
"Default: Hoodies & Sweater","Sweats à Capuches & À Col Rond"
"Default: Hoodies & Zipper","Sweats à capuche & sweats zippés"
"Default: Hoodies","Sweats à capuche"
"Default: Hoodies, Sweater & Zipper","Sweats à Capuches, À Col Rond & sweats zippés"
"Default: Jackets","Vestes"
"Default: Jackets, shoes, t-shirts and jeans","Vestes, chaussures, t-shirts et jeans"
"Default: Jeans & pants","Jeans & Pantalons"
"Default: Jeans Jackets","Vestes en Jean"
"Default: Jeans","Jeans"
"Default: Jewelry","Bijoux"
"Default: Keychains","Porte-clés"
"Default: Leather Jackets","Vestes en Cuir"
"Default: Leggings","Leggings"
"Default: Light jackets","Vestes légères"
"Default: Longsleeves","Manches Longues"
"Default: Merch","Merch"
"Default: Mugs","Mugs"
"Default: New LPs & CDs","Nouveaux LPs & CDs"
"Default: New album","Nouvel album"
"Default: New collection","Nouvelle collection"
"Default: New merch + Album","Nouveau Merch + Album"
"Default: New merch + Tour","Nouveau Merch + Tour"
"Default: New merch","Nouveau Merch"
"Default: Pants","Pantalons"
"Default: Patches","Insigne à Coudre"
"Default: Patent boots","Bottes en caoutchouc"
"Default: Posters","Posters"
"Default: Pre-order now!","Pré-commandez dès maintenant"
"Default: Pullover Jackets","Blouson à enfiler"
"Default: Scarf","Écharpes"
"Default: Scarfs","Écharpes"
"Default: Shirts","Chemises"
"Default: Shoes","Chaussures"
"Default: Shop now","Acheter maintenant"
"Default: Shorts","Shorts"
"Default: Skatedecks","Skateboars"
"Default: Skirts","Robes"
"Default: Sneakers","Sneakers"
"Default: Socks","Chaussettes"
"Default: Sport Jackets","Vestes Sport"
"Default: Streetwear Shorts","Shorts Streetwear"
"Default: Sunglasses","Lunettes De Soleil"
"Default: Sweat Pants","Jogging"
"Default: T-Shirts","T-Shirts"
"Default: Tanks","Débardeurs"
"Default: Tops","Hauts"
"Default: Towels","Serviettes"
"Default: Tracksuit","Jogging"
"Default: Underwear","Sous-Vêtements"
"Default: Various","Various"
"Default: Vest","Gilet"
"Default: Vinyl","Vinyle"
"Default: Wallets","Portefeuilles"
"Default: Watches","Montres"
"Default: Win","Gagnez"
"Default: Windbreaker","Coupe vent"
"Default: Winter jacktes","Manteaux d´hiver"
"Default: Wristbands","Bracelets éponge"
"Default: Zipper","Sweats Zippés"
"Default: free & limited","gratuit & limité"
