"Default: Accessories","Acessórios"
"Default: Backpacks","Mochilas"
"Default: Bags","Malas"
"Default: Ballerinas","Ballerinas"
"Default: Beanies & Scarfs","Gorros & Cachecol"
"Default: Beanies","Gorros"
"Default: Belts","Cintos"
"Default: Bracelets","Braceletes"
"Default: Calendars","Calendários"
"Default: Caps & Beanies",""
"Default: Caps","Caps"
"Default: Cardigans","Cardigans"
"Default: Cargo Pants","Calças Cargo"
"Default: Cases","Capas"
"Default: Click here","Clica aqui"
"Default: Coats","Casacos"
"Default: College Jackets","Casacos universitários"
"Default: Dresses","Vestidos"
"Default: Flags","bandeiras"
"Default: For free","Grátis"
"Default: Gloves","Luvas"
"Default: Headphones","Headphones"
"Default: Hoodies & Sweater","Hoodies & Camisolas"
"Default: Hoodies & Zipper","Hoodies & Zipper"
"Default: Hoodies","Hoodies"
"Default: Hoodies, Sweater & Zipper","Hoodies, Sweater & Zipper"
"Default: Jackets","Casacos"
"Default: Jackets, shoes, t-shirts and jeans","Casacos, sapatos, t-shirts e calças de ganga"
"Default: Jeans & pants","Jeans & Calças"
"Default: Jeans Jackets","Casacos de ganga"
"Default: Jeans","Calças de ganga"
"Default: Jewelry","Jóias"
"Default: Keychains","Porta-chaves"
"Default: Leather Jackets","Casacos de cabedal"
"Default: Leggings","Leggings"
"Default: Light jackets","Casacos para todo o ano"
"Default: Longsleeves","Longsleeves"
"Default: Merch","Merch"
"Default: Mugs","caneca"
"Default: New LPs & CDs","Novos LPs & CDs"
"Default: New album","Novo album"
"Default: New collection","Nova colecção"
"Default: New merch + Album","Novo merch + Album"
"Default: New merch + Tour","Novo merch + Tour"
"Default: New merch","Novo merch"
"Default: Pants","Calças"
"Default: Patches","Remendos"
"Default: Patent boots","Botas Patent"
"Default: Posters","Posters"
"Default: Pre-order now!","Pre-Order agora!"
"Default: Pullover Jackets","Casaco Pullover"
"Default: Scarf","Cachecol"
"Default: Scarfs","Cachecol"
"Default: Shirts","camisas"
"Default: Shoes","Sapatos"
"Default: Shop now","Compra agora"
"Default: Shorts","Calção"
"Default: Skatedecks","Skatedecks"
"Default: Skirts","Saias"
"Default: Sneakers","Ténis"
"Default: Socks","Meias"
"Default: Sport Jackets","Casacos de treino"
"Default: Streetwear Shorts","Calçoes Streetwear"
"Default: Sunglasses","Óculos de sol"
"Default: Sweat Pants","Calças de fato de treino"
"Default: T-Shirts","Póló"
"Default: Tanks","Manga Cava"
"Default: Tops","Tops"
"Default: Towels","Toalhas"
"Default: Tracksuit","Fato de treino"
"Default: Underwear","Roupa Interior"
"Default: Various","Varios"
"Default: Vest","Colete"
"Default: Vinyl","Vinyl"
"Default: Wallets","Carteiras"
"Default: Watches","Relógios"
"Default: Win","Ganha"
"Default: Windbreaker","Corta Vento"
"Default: Winter jacktes","Casacos de Inverno"
"Default: Wristbands","Pulseiras"
"Default: Zipper","Tops"
"Default: free & limited","Grátis & Limitado"
