"About us","من نحن"
"Accepts only alphabet characters.","Accepts only alphabet characters."
"Add a discount code","أدخل رمز الخصم"
"Add discount code","إرسال"
"Add to cart","أضف إلى السلّة"
"Add to compare","أضف إلى المقارنة"
"Add to favorite","أضف إلى المفضلّة"
"Allow notification about the order","السماح بالتنبيهات عن الطبية"
"Author","المؤلف"
"Authorization in progress ...","جاري عملية الحصول على تفويض ... "
"Back to login","العودة لتسجيل الدخول"
"Back","عودة"
"Billing address","عنوان الدّفع"
"Cancel","إلغاء"
"Cash on delivery","الدفع عند الاستلام"
"Change my password","تغيير كلمة المرور"
"Choose your country","اختر بلدك"
"City *","المدينة *"
"City","المدينة"
"Close","إغلاق"
"Cms Page Sync","مزامنة صفحة المحتوى"
"Company name *","اسم الشركة *"
"Compare products","مقارنة المنتجات"
"Confirm your order","تأكيد طلبيتك"
"Contact us","تواصل معنا"
"Continue to payment","الاستمرار للدفع"
"Continue to shipping","الاستمرار بالتسوّق"
"Copy address data from shipping","نسخ بيانات العنوان من عنوان الشحن"
"Country *","البلد *"
"Country","الدولة"
"Create a new account","إنشاء حساب جديد"
"Current password *","كلمة المرور الحالية *"
"Custom Cms Page","صفح محتوى خاصّة"
"Customer service","خدمة الزبائن"
"DPD Courier","DPD Courier"
"Date and time","التاريخ ولاوقت"
"Delivery","التوصيل"
"Departments","الآقسام"
"Discount code","رمز الخصم"
"Discount","الخصم"
"Don't hesitate and","لا تتردد و"
"E-mail address *","البريد الإلكتروني *"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","راسلنا على <b>demo@vuestorefront.io</b> بأي سؤال أو إقتراح كيف يمكننا تحسين المنتجات أو تجربة التّسوّق"
"Edit newsletter preferences","تعديل خيارات النشرة البريدية"
"Edit payment","تعديل الدفع"
"Edit personal details","تعديل المعلومات الشخصية"
"Edit shipping","تعديل الشحن"
"Edit your profile","تعديل ملفك"
"Edit your shipping details","تعديل تفاصيل الشحن"
"Edit","تعديل"
"Email address *","البريد * الإلكتروني"
"Email address","البريد الإلكتروني"
"English","إنكليزي"
"Enter your email to receive instructions on how to reset your password.","أدخل بريدك الإلكتروني لتصلك تعليمات إعادة ضبط كلمة المرور."
"Erin recommends","توصيات Erin"
"Error while sending reset password e-mail","حدث خطأ أثناء إعادة ضبط كلمة المرور"
"Everything new","جديدنا"
"Extension developers would like to thank you for placing an order!","يود مبرمجي الملحقات شكرك على اتمام الطلبية!"
"Field is required","حقل مطلوب"
"Filter","تصفية"
"Filters","التصفية"
"First name *","الاسم الأوّل"
"First name","الاسم الأول"
"Forgot the password?","هل نسيت كلمة المرور؟"
"General agreement","اتّفاق عام"
"German","ألماني"
"Germany","ألمانيا"
"Get inspired","احصل على الإلهام"
"Give a feedback","أخبرنا برأيك"
"Go review the order","الذهاب لمعاينة الطلبية"
"Go to Facebook","اذهب إلى فيس بوك"
"Go to Instagram","اذهب إلى انستغرام"
"Go to Pinterest","اذهب إلى بنتريست"
"Go to Youtube","اذهب إلي يوتيوب"
"Go to checkout","الدفع وإنهاء التسوّق"
"Help","المساعدة"
"Home","الرئيسة"
"House/Apartment number *","رقم المنزل/الشقة *"
"House/Apartment number","رقم الشقّة/المنزل"
"I accept ","أنا موافق على "
"I accept terms and conditions","أنا موافق على الشروط والأحكام"
"I agree to","موافق على"
"I have a company and want to receive an invoice for every order","أنا لدي شركة وأريد أن استلم فاتورة عن كل طلبية"
"I want to create an account","أريد إنشاء حساب جديد"
"I want to create an account'","أريد إنشاء حساب"
"I want to generate an invoice for the company","أريد إنشاء فاتورة للشركة"
