"About us (Magento CMS)","Über uns (Magento CMS)"
"About us","Über uns"
"Accepts only alphabet characters.","Accepts only alphabet characters."
"Add a discount code","Einen Rabatt-Code hinzufügen"
"Add discount code","Rabatt-Code hinzufügen"
"Add to cart","In den Warenkorb"
"Add to compare","Zum Vergleich hinzufügen"
"Add to favorite","Zu Favoriten hinzufügen"
"Allow notification about the order","Erlauben Sie Benachrichtigungen zu Ihrer Bestellung"
"Author","Autor"
"Authorization in progress ...","Autorisierung läuft ..."
"Back to login","Zurück zur Anmeldung"
"Back","Zurück"
"Billing address","Rechnungsadresse"
"Cancel","Abbrechen"
"Cash on delivery","Bezahlung bei Lieferung"
"Change my password","Mein Passwort ändern"
"Choose your country","Wählen Sie Ihr Land aus"
"City *","Ort *"
"City","Ort"
"Clear","Leeren"
"Close","Schließen"
"Cms Page Sync","Cms-Seiten synchronisieren"
"Company name *","Firma *"
"Compare products","Produkte vergleichen"
"Confirm your order","Bestätigen Sie Ihre Bestellung"
"Contact us","Kontaktieren Sie uns"
"Continue to payment","Weiter zur Zahlung"
"Continue to shipping","Weiter zum Versand"
"Copy address data from shipping","Die Rechnungsadresse entspricht der Lieferadresse"
"Country *","Land *"
"Country","Land"
"Create a new account","Erstellen Sie ein neues Konto"
"Current password *","Aktuelles Passwort *"
"Custom Cms Page","Angepasste Cms-Seite"
"Customer service","Kundenservice"
"DPD Courier","DPD Kurier"
"Date and time","Datum und Uhrzeit"
"Delivery","Lieferung"
"Departments","Kategorien"
"Discount code","Rabatt-Code"
"Discount","Rabatt"
"Don't hesitate and","Zögeren Sie nicht und"
"E-mail address *","E-Mail-Adresse *"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","Schreiben Sie uns unter <b>demo@vuestorefront.io</b> an, bezüglich Fragen oder Vorschlägen, wie wir das Einkaufserlebnis und die Produkte verbessern können"
"Edit newsletter preferences","Newsletter-Einstellungen bearbeiten"
"Edit payment","Zahlungsart bearbeiten"
"Edit personal details","Persönliche Daten bearbeiten"
"Edit shipping","Versand bearbeiten"
"Edit your profile","Mein Konto bearbeiten"
"Edit your shipping details","Meine Versanddetails bearbeiten"
"Edit","Bearbeiten"
"Email address *","E-Mail-Adresse *"
"Email address","E-Mail-Adresse"
