"About us","Sobre nosotros"
"Accepts only alphabet characters.","Accepts only alphabet characters."
"Add to cart","Añadir a la cesta"
"Add to compare","Añadir a comparar"
"Add to favorite","Agregar a Favoritos"
"Authorization in progress ...","Autorización en progreso ..."
"Back to login","Atrás para iniciar sesión"
"Cancel","Cancelar"
"Change my password","Cambiar mi contraseña"
"City *","Ciudad *"
"City","Ciudad"
"Company name *","Nombre de empresa *"
"Contact us","Contáctenos"
"Continue to payment","Continuar con el pago"
"Continue to shipping","Continuar con el envío"
"Copy address data from shipping","Copie los datos de la dirección del envío"
"Country","País"
"Current password *","Contraseña actual *"
"Customer service","Servicio al cliente"
"Delivery","Entrega"
"Departments","Departamentos"
"Don't hesitate and","No lo dudes y"
"E-mail address *","Dirección de correo electrónico *"
"Edit newsletter preferences","Editar las preferencias del boletín"
"Edit payment","Editar pago"
"Edit personal details","Editar detalles personales"
"Edit shipping","Editar envío"
"Edit your profile","Edite su perfil"
"Edit your shipping details","Edite sus detalles de envío"
"Edit","Editar"
"Email address *","Dirección de correo electrónico *"
"Email address","Dirección de correo electrónico"
"Enter your email to receive instructions on how to reset your password.","Ingrese su correo electrónico para recibir instrucciones sobre cómo restablecer su contraseña."
"Erin recommends","Erin recomienda"
"Error while sending reset password e-mail","Error al enviar el correo electrónico para el restablecimiento de contraseña"
"Everything new","Todo nuevo"
"Field is required","El campo es requerido"
"Filter","Filtro"
"Filters","Filtros"
"First name *","Nombre *"
"First name","Nombre"
"Forgot the password?","Olvidaste la contraseña?"
"General agreement","Acuerdo General"
"Get inspired","Inspírate"
"Go review the order","Revisa la orden"
"Go to Facebook","Ir a Facebook"
"Go to Instagram","Ir a Instagram"
"Go to Pinterest","Ir a Pinterest"
"Go to Youtube","Ir a Youtube"
"Go to checkout","Ir a pagar"
"Help","Ayuda"
"Home","Inicio"
"House/Apartment number *","Número de casa/apartamento *"
"House/Apartment number","Número de casa/apartamento"
"I accept ","Acepto "
"I agree to","Estoy de acuerdo con"
"I have a company and want to receive an invoice for every order","Tengo una empresa y quiero recibir una factura por cada pedido"
"I want to create an account","Quiero crear una cuenta"
"I want to create an account'","Quiero crear una cuenta'"
"I want to generate an invoice for the company","Quiero generar una factura para la empresa"
"If you need an assistance you can drop us a line on","Si necesita ayuda, puede enviarnos un mensaje en"
"Kidswear","Ropa de niños"
"Last name *","Apellido *"
"Last name","Apellido"
"Legal notice","Aviso Legal"
"Log in to your account","Ingrese a su cuenta"
"Log in","Iniciar sesión"
"Login to your account","Ingrese a su cuenta"
"Logout","Cerrar sesión"
"Magazine","Revista"
"Men's fashion","Moda de hombres"
"My Account","Mi Cuenta"
"My account","Mi cuenta"
"My loyalty card","Mi tarjeta de lealtad"
"My newsletter","Mi boletín"
"My orders","Mis ordenes"
"My product reviews","Mis Opiniones del producto"
"My profile","Mi perfil"
"My shipping details","Mis detalles de envío"
"Name must have at least 3 letters.","El nombre debe tener al menos 3 letras."
"New Luma Yoga Collection","Nueva colección Luma Yoga"
"New password *","Nueva contraseña *"
"Newsletter","Boletin de Noticias"
"No products found!","No se encontraron productos!"
"No results were found.","No se encontraron resultados."
"Order Summary","Resumen del pedido"
"Orders","Pedidos"
"Password *","Contraseña *"
"Passwords must be identical","Las contraseñas deben ser idénticas"
"Passwords must be identical.","Las contraseñas deben ser idénticas."
"Payment method","Método de pago"
"Payment","Pago"
"Personal Details","Detalles personales"
"Phone Number","Número de teléfono"
"Phone number may be needed by carrier","El operador puede necesitar el número de teléfono"
"Place the order","Hacer el pedido"
"Please check if all data are correct","Por favor verifique si todos los datos son correctos"
"Please provide valid e-mail address.","Proporcione una dirección de correo electrónico válida."
"Price {variant}","Precio {variant}"
"Price","Precio"
"Privacy policy","Política de privacidad"
"Product details","Detalles del producto"
"Qty","Cantidad"
"Quantity","Cantidad"
"Register an account","Registrar una cuenta"
"Register","Registro"
"Remember me","Recuérdame"
"Remove from compare","Eliminar de comparar"
"Remove","Quitar"
"Repeat new password *","repita la nueva contraseña *"
"Repeat password *","repite la contraseña *"
"Reset password","Restablecer la contraseña"
"Resetting the password ... ","Restableciendo la contraseña ... "
"Return policy","Politica de devolucion"
"Return to shopping","Regresar a comprar"
"Returns","Devoluciones"
"Review order","Orden de revisión"
"Safety","Seguridad"
"Sale","Venta"
"Search","Buscar"
"See details","Ver detalles"
"See our bestsellers","Vea nuestros bestsellers"
"Select color ","Seleccionar el color "
"Select size {variant}","Selecciona el tamaño {variant}"
"Ship to my default address","Enviar a mi dirección predeterminada"
"Shipping method","Método de envío"
"Shipping","Envío"
"Shopping cart","Carrito de compras"
"Shopping summary","Resumen de compras"
"Sign up to our newsletter and receive a coupon for 10% off!","¡Suscríbete a nuestro boletín y recibe un cupón con un 10% de descuento!"
"Similar products","Productos similares"
"Size guide","Guia de tallas"
"State / Province","Provincia del estado"
"Store locator","Localizador de tiendas"
"Street name *","Nombre de la calle *"
"Street name","Nombre de la calle"
"Subscribe to the newsletter and receive a coupon for 10% off","Suscríbase al boletín y reciba un cupón con un 10% de descuento"
"Subscribe","Suscribir"
"Tax ID *","Identificación del impuesto *"
"Tax identification number *","Número de identificación de impuestos *"
"Tax identification number must have at least 3 letters.","El número de identificación fiscal debe tener al menos 3 letras."
"Terms and conditions","Términos y Condiciones"
"The new account will be created with the purchase. You will receive details on e-mail.","La nueva cuenta se creará con la compra. Recibirá detalles sobre el correo electrónico."
"Track my order","Seguir mi orden"
"Unfortunately we can't find the page you are looking for.","Desafortunadamente no podemos encontrar la página que está buscando."
"Update my preferences","Actualizar mis preferencias"
"Update my profile","Actualizar mi perfil"
"Update my shipping details","Actualiza mis detalles de envío"
"Use my billing data","Usa mis datos de facturación"
"Use my company's address details","Usar los detalles de la dirección de mi empresa"
"We can't find the page","No podemos encontrar la página"
"We use cookies to give you the best shopping experience.","Utilizamos cookies para ofrecerle la mejor experiencia de compra."
"We will send you details regarding the order","Le enviaremos detalles sobre el pedido"
"We will send you the invoice to given e-mail address","Le enviaremos la factura a la dirección de correo electrónico especificada"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Hemos enviado instrucciones de restablecimiento de contraseña a su correo electrónico. Revisa tu bandeja de entrada y sigue el enlace."
"Wishlist","Lista de Deseo"
"Women fashion","Moda femenina"
"You are logged in as {firstname}","Has iniciado sesión como {firstname}"
"You are offline. Some features might not be available.","Estás fuera de línea, algunas de las funcionalidades son limitadas"
"You can also use","También puedes usar"
"You have been successfully subscribed to our newsletter!","¡Se suscribió exitosamente a nuestro boletín informativo!"
"You have no items to compare.","No tienes articulos para comparar."
"You must accept the terms and conditions.","Debe aceptar los Términos y Condiciones."
"Your shopping cart is empty.","Su cesta está vacía."
"Your wishlist is empty.","Tu lista de deseos esta vacía."
"Zip-code *","Código postal *"
"Zip-code must have at least 3 letters.","El código postal debe tener al menos 3 letras."
"Zip-code","Código postal"
"a chat","un chat"
"a contact page","una página de contacto"
"browse our catalog","navega por nuestro catálogo"
"color_filter","Color"
"login to your account","ingrese a su cuenta"
"or write to us through","o escríbanos a través de"
"or","o"
"price_filter","Precio"
"register an account","registrar una cuenta"
"return to log in","volver a iniciar sesión"
"search","buscar"
"size_filter","Tamaño"
"to find product you were looking for.","para encontrar el producto que estabas buscando."
"to find something beautiful for You!","para encontrar algo hermoso para ti!"
