"A customer with the same email already exists in an associated website.","Esiste già un account registrato con questo indirizzo email."
"About us (Magento CMS)","Chi siamo (Magento CMS)"
"About us","Chi siamo"
"Accepts only alphabet characters.","Accepts only alphabet characters."
"Add a discount code","Aggiungi un codice sconto"
"Add discount code","Applica"
"Add to cart","Aggiungi al carrello"
"Add to compare","Confronta"
"Add to favorite","Aggiungi ai preferiti"
"Allow notification about the order","Abilita le notifiche per quest'ordine"
"Are you sure you would like to remove all the items from the shopping cart?","Confermi la rimozione di tutti i prodotti dal carrello?"
"Are you sure you would like to remove all the items from the wishlist?","Confermi la rimozione di tutti i prodotti dalla lista dei desideri?"
"Author","Autore"
"Authorization in progress ...","Autorizzazione in corso..."
"Back to login","Ritorna al login"
"Back","Indietro"
"Billing address","Indirizzo di fatturazione"
"Cancel","Annulla"
"Cash on delivery","Pagamento alla consegna"
"Change my password","Modifica password"
"Choose your country","Scegli il tuo paese"
"City *","Città*"
"City","Città"
"Clear cart","Svuota carrello"
"Clear filters","Azzera i filtri"
"Clear wishlist","Svuota la lista"
"Clear","Clear"
"Close","Chiudi"
"Cms Page Sync","Sincronizzazione pagina CMS"
"Columns","Colonne"
"Company name *","Ragione sociale*"
"Compare products","Confronta prodotti"
"Confirm your order","Conferma il tuo ordine"
"Contact us","Contattaci"
"Continue to payment","Continua con il pagamento"
"Continue to shipping","Continua gli acquisti"
"Copy address data from shipping","Utilizza l'indirizzo di spedizione"
"Country *","Paese*"
"Country","Paese"
"Create a new account","Crea un nuovo account"
"Current password *","Password attuale*"
"Custom Cms Page","Pagina CMS personalizzata"
"Customer service (Magento CMS)","Servizio clienti (Magento CMS)"
"Customer service","Servizio clienti"
"DPD Courier","Corriere DPD"
"Date and time","Data e ora"
"Delivery","Spedizione"
"Departments","Dipartimenti"
"Discount code","Codice sconto"
"Discount","Sconto"
"Don't hesitate and","Non esitare e "
"E-mail address *","Indirizzo email*"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","Scrivici a <b>demo@vuestorefront.io</b> per qualsiasi domanda, suggerimenti su come migliorare i nostri prodotti o sulla tua esperienza di acquisto."
"Edit newsletter preferences","Modifica le preferenze della newsletter"
"Edit payment","Modifica"
"Edit personal details","Modifica"
"Edit shipping","Modifica"
"Edit your profile","Modifica il profilo"
"Edit your shipping details","Modifica le informazioni di spedizione"
"Edit","Modifica"
"Email address *","Email*"
"Email address","Email"
"English","Inglese"
"Enter your email to receive instructions on how to reset your password.","Inserisci la tua mail per ricevere istruzioni su come reimpostare la password"
"Erin recommends","Erin consiglia"
"Error while sending reset password e-mail","Errore durante l'invio della mail per reimpostare la password"
"Everything new","Tutte le novità"
"Extension developers would like to thank you for placing an order!","Gli sviluppatori dell'estensione ti ringraziano per aver fatto un acquisto!"
"Field is required","Campo obbligatorio"
"Filter by categories","Filtra per categorie"
"Filter","Filtri"
"Filters","Filtri"
"First name *","Nome*"
"First name","Nome"
"Forgot the password?","Hai dimenticato la password?"
"General agreement","Condizioni generali"
"German","Tedesco"
"Germany","Germania"
"Get inspired","Lasciati ispirare"
"Give a feedback","Invia un riscontro"
"Go review the order","Vai al riepilogo dell'ordine"
"Go to Facebook","Vai su Facebook"
"Go to Instagram","Vai su Instagram"
"Go to Pinterest","Vai su Pinterest"
"Go to Youtube","Vai su Youtube"
"Go to checkout","Vai alla cassa"
"Help","Aiuto"
"Home","Home"
