"Remove from compare","比較から削除する"
"Resetting the password ... ","パスワードをリセットしていあｍす ... "
"Error while sending reset password e-mail","リセットパスワードを送る際にエラー"
"Authorization in progress ...","認証を実行中 ..."
"You have been successfully subscribed to our newsletter!","ニュースレターに購読しました!"
"Everything new","全ての新しいもの"
"Get inspired","インスピレーションをもらいましょう"
"Size guide","サイズガイド"
"Add to favorite","お気に入りへの追加"
"Add to compare","比較への追加"
"Product details","商品の詳細"
"Filters","フィルター"
"My account","自分のアカウント"
"My Account","自分のアカウント"
"Logout","ログアウト"
"Enter your email to receive instructions on how to reset your password.","メールアドレスを入力して、パスワードリセットの手順を受信してください。"
"Reset password","リセットパスワード"
"or","か"
"return to log in","ログインに戻る"
"Back to login","ログインに戻る"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","パスワードリセットのメールを送りました。メールの中にあるリンクをクリックしてください。"
"Log in","ログイン"
"Remember me","ログインを覚える"
"Forgot the password?","パスワードを忘れましたか?"
"Log in to your account","アカウントにログインする"
"You must accept the terms and conditions.","利用規格に同意してください"
"Register","登録"
"register an account","アカウントの登録"
"Register an account","アカウントの登録"
"login to your account","アカウントへのログイン"
"Filter","フィルター"
"color_filter","色"
"size_filter","サイズ"
"price_filter","価格"
"Price","価格"
"Order Summary","注文の詳細"
"Safety","安全性"
"Shipping","送料"
"Payment","支払い"
"Returns","返品"
"Review order","注文の確認"
"Please check if all data are correct","全てのデータが正しいかどうか確認してください"
"I agree to","同意します"
"Terms and conditions","利用規約"
"Place the order","注文を行う"
"Edit payment","支払いの編集"
"We will send you the invoice to given e-mail address","指定されたメールアドレスに請求書を送ります"
"Payment method","決済方法"
"Go review the order","注文の確認"
"Phone number may be needed by carrier","発送に電話番号が必要な事があります"
"Personal Details","個人の詳細"
"Edit personal details","個人の詳細の編集"
"Continue to shipping","買い物を続ける"
"We will send you details regarding the order","注文に関する詳細を送ります"
"The new account will be created with the purchase. You will receive details on e-mail.","この買い物の後にアカウントが作成されます。詳細の入ったメールが送られます"
"Qty","数量"
"Edit shipping","発送方法の編集"
"Ship to my default address","デフォルトの住所に発送する"
"Shipping method","発送方法"
"Continue to payment","支払いに進む"
"Departments","部署"
"Women fashion","女性のファッション"
"Men's fashion","男性のファッション"
"Kidswear","子供服"
"Home","ホーム"
"Orders","注文"
"Track my order","注文のトラッキング"
"Delivery","発送"
"Return policy","返品ポリシー"
"Customer service","カスタマーサービス"
"Contact us","Contact us"
"About us","About us"
"Store locator","Store locator"
"Legal notice","法律のお知らせ"
"Privacy policy","プライバシー・ポリシー"
"Subscribe to the newsletter and receive a coupon for 10% off","ニュースレターに登録して10%オフのクーポンをもらいましょう"
"Subscribe","登録"
"Return to shopping","買い物に戻る"
"Login to your account","アカウントにログイン"
"You are logged in as","ログイン中 "
"Edit","編集"
"Shopping cart","ショッピングカート"
"Your shopping cart is empty.","ショッピングカートは空です"
"Don't hesitate and","躊躇しないで"
"browse our catalog","カタログを見る"
"to find something beautiful for You!","あなたにあった素敵なものを見つけましょう!"
"Shopping summary","買い物の詳細"
"Go to checkout","チェックアウトに進む"
"Remove","削除する"
"My newsletter","自分のニュースレター"
"Edit newsletter preferences","ニュースレターの設定を変更する"
"General agreement","ユーザー同意"
"Cancel","キャンセル"
"Update my preferences","設定を更新する"
"My profile","自分のプロフィール"
"Edit your profile","プロフールの編集"
"Update my profile","プロフィールを更新"
"My shipping details","買い物の詳細"
"Edit your shipping details","買い物の詳細を編集"
"Update my shipping details","買い物の詳細の更新"
"Country","国"
"Similar products","似た商品"
"No results were found.","なにもありません"
"Magazine","マガジン"
"Sale","セール"
"My orders","自分の注文"
"My loyalty card","自分のポイントカード"
"My product reviews","自分の商品レビュー"
"Wishlist","欲しいモノリスト"
"Your wishlist is empty.","欲しいモノリストは空です"
"Add to cart","カートに追加"
"Select color ","色の選択 "
"See details","詳細を見る"
"We use cookies to give you the best shopping experience.","買い物をできるだけ良いものにするためクッキーを使っています"
"Newsletter","ニュースレター"
"Sign up to our newsletter and receive a coupon for 10% off!","ニュースレターに登録して、10%割引のクーポンをうけとりましょう!"
"Quantity","数量"
"Price ","価格 "
"Select size ","サイズの選択 "
"You have no items to compare.","比較するアイテムはありません"
"New Luma Yoga Collection","Luma Yogaの新しいコレクション"
"We can't find the page","ページがありません"
"Unfortunately we can't find the page you are looking for.","すみません、お探しのページはありません。"
"If you need an assistance you can drop us a line on","お問合わせはこちらからお願いします"
"a chat","チャット"
"or write to us through","かこちらから連絡ください"
"a contact page","コンタクトページ"
"You can also use","こちらを使うこともできます"
"search","検索"
"to find product you were looking for.","から欲しい商品を見つける"
"See our bestsellers","ベストセラーを見る"
"You are offline, some of the functionalities are limited","オフラインです、使えない機能があります"
"Search","検索"
"Help","ヘルプ"
"Go to Facebook","Facebookへ行く"
"Go to Instagram","Instagramへ行く"
"Go to Pinterest","Pinterestへ行く"
"Go to Youtube","Youtubeへ行く"
"I accept ","同意する "
"Use my billing data","請求書情報を使う"
"I want to generate an invoice for the company","この会社への請求書を発行する"
"Field is required","必須の項目です"
"Name must have at least 3 letters.","名前は最低３文字必要です"
