"Remove from compare","إزالة من المقارنة"
"Resetting the password ... ","جاري إعادة ضبط كلمة المرور ..."
"Error while sending reset password e-mail","حدث خطأ أثناء إعادة ضبط كلمة المرور"
"Authorization in progress ...","جاري عملية الحصول على تفويض ... "
"You have been successfully subscribed to our newsletter!","تم اشتراكك في النشرة البريدية بنجاح!"
"Everything new","جديدنا"
"Get inspired","احصل على الإلهام"
"Size guide","دليل القياس"
"Add to favorite","أضف إلى المفضلّة"
"Add to compare","أضف إلى المقارنة"
"Product details","تفاصيل المنتج"
"Filters","التصفية"
"My account","حسابي"
"My Account","حسابي"
"Logout","تسجيل الخروج"
"Enter your email to receive instructions on how to reset your password.","أدخل بريدك الإلكتروني لتصلك تعليمات إعادة ضبط كلمة المرور."
"Reset password","إعادة ضبط كلمة المرور"
"or","أو"
"return to log in","العودة لتسجيل الدخول"
"Back to login","العودة لتسجيل الدخول"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","لقد أرسلنا تعليمات ضبط كلمة المرور إلى بريدك الإلكتروني. يرجى تفقّد بريدك الإلكتروني والضغط على الرابط المرسل."
"Log in","تسجيل الدخول"
"Remember me","تذكرني"
"Forgot the password?","هل نسيت كلمة المرور؟"
"Log in to your account","تسجيل الدخول لحسابك"
"You must accept the terms and conditions.","يجب أن توافق على الشروط والأحكام."
"Register","الاشتراك"
"register an account","إنشاء حساب"
"Register an account","إنشاء حساب"
"login to your account","تسجيل الدخول لحسابك"
"Filter","تصفية"
"color_filter","اللّون"
"size_filter","القياس"
"price_filter","السعر"
"Price","السعر"
"Order Summary","ملخّص الطلبية"
"Safety","الحماية"
"Shipping","الشحن"
"Payment","الدفع"
"Returns","الاسترجاع"
"Review order","معاينة الطلبيّة"
"Please check if all data are correct","الرجاء التأكّد من صحّة كافة البيانات"
"I agree to","موافق على"
"Terms and conditions","الشروط والأحكام"
"Place the order","إتمام الطلب"
"Edit payment","تعديل الدفع"
"We will send you the invoice to given e-mail address","سنرسل الفاتورة لبريدك الإلكتروني المعطى"
"Payment method","طريقة الدفع"
"Go review the order","الذهاب لمعاينة الطلبية"
"Phone number may be needed by carrier","رقم الهاتف قد يكون مطلوب من الموصّل"
"Personal Details","المعلومات الشخصية"
"Edit personal details","تعديل المعلومات الشخصية"
"Continue to shipping","الاستمرار بالتسوّق"
"We will send you details regarding the order","سوف نرسل لك التفاصيل المتعلّقة بطلبيتك"
"The new account will be created with the purchase. You will receive details on e-mail.","سوف يتم إنشاء حساب جديد لمشترياتك. سوف يصلك بريد إلكتروني بالتفاصيل."
"Qty","الكميّة"
"Edit shipping","تعديل الشحن"
"Ship to my default address","الشحن لعنواني الافتراضي"
"Shipping method","طريقة الشحن"
"Continue to payment","الاستمرار للدفع"
"Departments","الآقسام"
"Women fashion","أزياء نسائية"
"Men's fashion","أرياء رجّالية"
