","Litujeme, ale tato soutěž již skončila."
","Promiňte, ale ještě nemáte žádné objednávky."
"About us (Magento CMS)","O nás (Magento CMS)"
"About us","O nás "
"Add a discount code","Přidejte slevový kód"
"Add discount code","Přidejte slevový kód"
"Add review","Přidat recenzi"
"Add to cart","Přidat do košíku"
"Add to compare","Přidat ke srovnání"
"Add to favorite","Přidat k oblíbeným"
"Allow notification about the order","Povolit upozornění na objednávku"
"Already have an account?","Máte již účet?"
"An error appeared:","Objevila se chyba:"
"Are you sure you would like to remove all the items from the shopping cart?","Opravdu chcete odstranit všechny položky z nákupního košíku?"
"Are you sure you would like to remove all the items from the shopping cart?","Opravdu chcete odstranit všechny položky z nákupního košíku?"
"Are you sure you would like to remove all the items from the wishlist?","Opravdu chcete odstranit všechny položky ze seznamu přání?"
"Are you sure?","Jste si jistí?"
"Author","Autor"
"Authorization in progress ...","Autorizace v procesu"
"Awesome! You have been successfully registered and logged in now!","Úžasné! Právě jste byli úspěšně zaregistrováni a přihlášeni!"
"Back to login","Zpátky k přihlášení"
"Back","Zpátky "
"Balance","Zůstatek"
"Billing address","Fakturační adresa"
"Buy tickets","Kup lístek"
"By continuing to use our website without changing the settings","Pokračováním v používání našich webových stránek beze změny nastavení"
"Can\'t delete a default shipping nor billing address.","Nelze smazat výchozí dodací ani fakturační adresu."
"Cancel","Zrušit"
"Card number","číslo karty"
"Care instructions","Pokyny k provedení"
"Cash on delivery","Dobírka"
"Change my password","Změnit hesla"
"Check balance","Zkontrolujte zůstatek"
"Checkout this out: {name} for {price}","Pokladna to: {jméno} za {cena}"
"Choose an option","Zvolte možnost"
"Choose options","Zvolte možnosti"
"Choose size","Zvolte velikost"
"Choose your country","Vybrat tvojí zemi"
"Choose {attribute}","Vyberte {atribut}"
"City *","Město"
"City","Město"
"Clear cart","Vymazat košík"
"Clear filters","Vymazat filtr"
"Clear wishlist","Vymazat seznam přání "
"Clear","Smazat"
"Click here to add a new one","Kliknutím sem přidáte nový"
"Close","Zavřít"
"Cms Page Sync","Cms Page Sync"
"Columns","Sloupce"
"Company name *","Jméno firmy"
"Compare products","Porovat produkty"
"Confirm your order","Potvrdit tvou objednávku"
"Contact us","Kontaktujte nás"
"Continue to payment","Pokračovat v platbě"
"Continue to shipping","Pokračovat v doručení"
"Copy address data from shipping","Zkopírujte data z přepravy"
"Could not send an email. Please try again later.","Nelze odeslat e-mail. Prosím zkuste to znovu později."
"Country *","Země"
"Country","Země"
"Coupon","Kupón"
"Create a new account","Vytvořit nového uživatele"
"Current password","Aktuální heslo"
"Currently in pre-order","Aktuálně v předobjednávce"
"Currently out of stock","momentálně není skladem"
"Custom Cms Page","Custom Cms Page"
"Customer service (Magento CMS)","Zákaznický servis (Magento CMS)"
"Customer service","zákazník servis"
"DPD Courier","DHL kurýr"
"Data is not given to third parties and unsubscription is possible at any time. {policy}"," Údaje nejsou poskytovány třetím stranám a odhlášení je možné kdykoli. {politika}"
"Date and time","datum a čas"
"Date of birth","datum narození"
"Date","datum"
"Deadline for entries is {showTo}. The decision is final.","Uzávěrka přihlášek je {showTo}. Rozhodnutí je finální."
"Default billing address","Výchozí fakturační adresa"
"Default shipping address","Výchozí doručovací adresa"
"Delete","smazat"
"Delivery","doručení"
"Departments","Oddělení"
