"About us (Magento CMS)","Über uns (Magento CMS)"
"About us","Über uns"
"Add a discount code","Einen Rabatt-Code hinzufügen"
"Add discount code","Rabatt-Code hinzufügen"
"Add review","Bewertung schreiben"
"Add to cart","In den Warenkorb"
"Add to compare","Zum Vergleich hinzufügen"
"Add to favorite","Zu Favoriten hinzufügen"
"Allow notification about the order","Erlaube Benachrichtigungen zu der Bestellung"
"Already have an account?","Bereits einen Account?"
"Are you sure you would like to remove all the items from the shopping cart?","Bist sicher dass du alle Produkte aus deinem Warenkorb löschen möchtest?"
"Are you sure?","Sicher?"
"Author","Autor"
"Authorization in progress ...","Autorisierung läuft ..."
"Awesome! You have been successfully registered and logged in now!","Geschafft! Du wurdest erfolgreich registriert und eingeloggt."
"Back to login","Zurück zur Anmeldung"
"Back","Zurück"
"Billing address","Rechnungsadresse"
"By continuing to use our website without changing the settings, you are agreeing to our use of cookies.","Indem du weiter unsere Seite benutzt, erklärst du dich mit unseren Bestimmungen zur Verwendung von Cookies einverstanden."
"Can\'t delete a default shipping nor billing address.","Standard-Rechnungs- und Versand-Adressen können nicht gelöscht werden."
"Cancel","Abbrechen"
"Care instructions","Pflegehinweise"
"Cash on delivery","Bezahlung bei Lieferung"
"Change my password","Mein Passwort ändern"
"Checkout this out: {name} for {price}","Zieh dir das rein: {name} für nur {price}"
"Choose an option","Option auswählen"
"Choose options","Variante auswählen"
"Choose size","Größe wählen"
"Choose {attribute}","{attribute} wählen"
"City *","Ort *"
"City","Ort"
"Clear filters","Filter löschen"
"Clear","Leeren"
"Click here to add a new one","Klicke hier um eine neue anzulegen"
"Close","Schließen"
"Cms Page Sync","Cms-Seiten synchronisieren"
"Company name","Firma"
"Compare products","Produkte vergleichen"
"Confirm your order","Bestätigen Sie Ihre Bestellung"
"Contact us","Kontaktieren Sie uns"
"Continue to payment","Weiter zur Zahlung"
"Continue to shipping","Weiter zum Versand"
"Copy address data from shipping","Die Rechnungsadresse entspricht der Lieferadresse"
"Country *","Land *"
"Country","Land"
"Create a new account","Erstellen Sie ein neues Konto"
"Current password","Aktuelles Passwort"
"Custom Cms Page","Angepasste Cms-Seite"
"Customer service","Kundenservice"
"DPD Courier","DPD Kurier"
"Data is not given to third parties and unsubscription is possible at any time. {policy}","Daten werden nicht an Dritte weitergegeben & Abmeldung jederzeit möglich. {policy}"
"Date and time","Datum und Uhrzeit"
"Date of birth","Geburtsdatum"
"Date","Datum"
"Default billing address","Standard Rechnungsadresse"
"Default shipping address","Standard Versandadresse"
"Delete","Löschen"
"Delivery","Lieferung"
"Departments","Kategorien"
"Discount code","Rabatt-Code"
"Discount","Rabatt"
"Don't hesitate and","Zögeren Sie nicht und"
"E-mail address","E-Mail-Adresse"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","Schreiben Sie uns unter <b>demo@vuestorefront.io</b> an, bezüglich Fragen oder Vorschlägen, wie wir das Einkaufserlebnis und die Produkte verbessern können"
"Edit newsletter preferences","Newsletter-Einstellungen bearbeiten"
"Edit payment","Zahlungsart bearbeiten"
"Edit personal details","Persönliche Daten bearbeiten"
"Edit profile","Profil bearbeiten"
"Edit shipping","Versand bearbeiten"
"Edit your profile","Mein Konto bearbeiten"
"Edit your shipping details","Meine Versanddetails bearbeiten"
"Edit","Bearbeiten"
"Email address *","E-Mail-Adresse *"
"Email address","E-Mail-Adresse"
"English","Englisch"
"Enter your email address. After submit you will receive an email with an reset-link.","Gib deine E-Mail-Adresse ein. Nach dem Absenden erhälst du eine Email mit einem Reset-Link."
"Erin recommends","Erin empfiehlt"
"Erin recommends","Erin empfiehlt"
"Error while sending reset password e-mail","Fehler beim Senden der E-Mail zum Zurücksetzen des Passworts"
"Everything new","Die neusten Produkte"
"Extension developers would like to thank you for placing an order!","Die Extension-Entwickler möchten sich bei Ihnen gerne für Ihre Bestellung bedanken!"
"Features","Features"
"Female","Weiblich"
"Field is required","Dies ist ein Pflichtfeld"
"Filter by categories","Nach Kategorien filtern"
"Filter {label}","{label} filtern"
"Filter","Filter"
"Filters","Filter"
"First name","Vorname"
"Forgot the password?","Passwort vergessen?"
"Forgot your house number?","Hausnummer vergessen?"
"Gender","Geschlecht"
"General agreement","Allgemeine Zustimmung"
"German","Deutsch"
"Germany","Deutschland"
"Get inspired","Lassen Sie sich inspirieren"
"Get the Impericon Newsletter & and get yourself a 5€ gift.","Hol Dir jetzt die Impericon News & erhalte 5€ als Dankeschön."
"Get your 5€ Voucher","5€ Gutschein sichern"
"Give a feedback","Geben Sie Feedback"
"Go review the order","Weiter zur Bestellübersicht"
"Go to Facebook","Zu Facebook gehen"
"Go to Instagram","Zu Instagram gehen"
"Go to Pinterest","Zu Pinterest gehen"
"Go to Youtube","Zu Youtube gehen"
"Go to checkout","Zur Kasse gehen"
"Help","Hilfe"
"Hi {firstname}","Hallo {firstname}"
"Home","Startseite"
"House/Apartment number *","Hausnummer *"
"House/Apartment number","Hausnummer"
"How did you like it?","Wie sehr gefällt dir das Teil?"
"I accept ","Ich akzeptiere "
"I accept terms and conditions","Ich akzeptiere die Allgemeinen Geschäftsbedingungen"
"I agree to","Ich akzeptiere die"
"I have a company and want to receive an invoice for every order","Ich habe eine Firma und möchte zu jeder Bestellung eine Rechnung erhalten."
"I have read and agree with the {terms}, {policy} and {return}.","Ich habe die {terms}, {policy} und {return} gelesen und stimme diesen ausdrücklich zu."
"I want to create an account","Ich möchte ein Konto erstellen"
"I want to create an account'","Ich möchte ein Konto erstellen'"
"I want to generate an invoice for the company","Ich möchte eine Rechnung für die Firma erstellen"
"I want to receive a newsletter","Ich möchte den Newsletter erhalten"
"I want to receive a newsletter, and agree to its terms","Ich möchte den Newsletter erhalten und akzeptiere die Bedingungen"
"If you need an assistance you can drop us a line on","Wenn Sie Hilfe benötigen, kontaktieren Sie uns über"
"If you need an assistance you can drop us a line on","Wenn Sie Hilfe brauchen können Sie uns eine Nachricht schreiben"
"In sale","In Sale"
"Internal Server Error 500","500 Interner Server Fehler"
"Invalid characters.","Enthält ungültige Zeichen."
"Italian","Italienisch"
"Italy","Italien"
"Items ordered","Bestellte Artikel"
"Kidswear","Kinderkleidung"
"Last name","Nachname"
"Last update","letztem Update"
"Latest","Neueste"
"Latest","Neuesten"
"Leave us a 50 words review and win one of three {voucher} vouchers each month.","Schreibe eine Bewertung mit mindestens 50 Wörtern und gewinn monatlich einen von drei {voucher} Gutscheinen."
"Legal notice","Impressum"
"Load more","Mehr laden"
"Log in to your account","Einloggen"
"Log in","Anmelden"
"Login to your account","Einloggen"
"Login with Facebook","Mit Facebook einloggen"
"Logout of Facebook","Von Facebook abmelden"
"Logout","Ausloggen"
"Magazine","Zeitschrift"
"Male","Männlich"
"Men's fashion","Herrenmode"
"More info's","Mehr Info's"
"My Account","Mein Konto"
"My Recently viewed products","Meine zuletzt angesehenen Produkte"
"My account","Mein Konto"
"My addresses","Meine Adressen"
"My coupons","Meine Gutscheine"
"My loyalty card","Meine Kundenkarte"
"My newsletter","Mein Newsletter"
"My orders","Meine Bestellungen"
"My product reviews","Meine Produktrezensionen"
"My profile","Mein Konto"
"Name must have at least 3 letters.","Ihr Name muss aus mindestens 3 Zeichen bestehen."
"New Luma Yoga Collection","Die neue Luma Yoga Kollektion"
"New address","Neue Adresse"
"New password","Neues Passwort"
"Newsletter","Newsletter"
"No orders yet","Noch keine Bestellungen"
"No products found!","Keine Produkte gefunden!"
"No products yet","Keine Produkte"
"No results found","Keine Ergebniss gefunden"
"No results were found.","Es wurden keine Ergebnisse gefunden."
"No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!","Bisher wurden keine Bewertungen abgegeben. Teile deine Meinung und schreibe die erste Bewertung!"
"Not yet an account?","Noch kein Konto?"
"Oh great, you are already subscribed.","Großartig, du bist bereits angemeldet."
"Only alphanumeric characters are allowed.","Nur alphanumerische Zeichen sind erlaubt."
"Open menu","Menü öffnen"
"Open microcart","Microcart öffnen"
"Open my account","Mein Konto öffnen"
"Open search panel","Suche öffnen"
"Open wishlist","Wunschliste öffnen"
"Order #","Bestellung #"
"Order ID","ID der Bestellung"
"Order Summary","Bestellübersicht"
"Order confirmation","Bestellbestätigung"
"Order informations","Bestellinformationen"
"Orders","Bestellungen"
"Our {department}","Unsere {department}"
"Password has successfully been changed","Das Passwort wurde erfolgreich geändert"
"Password must have at least 8 letters.","Das Passwort muss mindestens 8 Zeichen enthalten."
"Password","Passwort"
"Passwords must be identical","Die Passwörter müssen identisch sein"
"Passwords must be identical.","Die Passwörter müssen identisch sein."
"Payment method","Zahlungsmethode"
"Payment","Zahlung"
"Payments & Shipping","Zahlungsarten & Versand"
"Personal Details","Persönliche Daten"
"Phone Number","Telefonnummer"
"Phone number may be needed by carrier","Telefonnummer könnte für die Zustellung benötigt werden"
"Place the order","Bestellung abschicken"
"Please change Your search criteria and try again.","Bitte ändere deine Suchkriterien und versuche es erneut."
"Please check if all data are correct","Bitte überprüfen Sie, ob alle Daten korrekt sind"
"Please confirm order you placed when you was offline","Bitte bestätigen Sie Ihre Bestellung, die Sie im Offline-Modus abgegeben haben"
"Please provide valid e-mail address.","Bitte eine gültige E-Mail-Adresse eingeben."
"Please try again or contact our customer-support.","Bitte versuche es erneut oder melde dich beim Customer-Support."
"Please wait","Bitte warten"
"Postcode","Postleitzahl"
"Price ","Preis "
"Price (High to low)","Preis (absteigend)"
"Price (Low to high)","Preis (aufsteigend)"
"Price","Preis"
"Price: High to low","Preis: absteigend"
"Price: Low to high","Preis: aufsteigend"
"Privacy Policy","Datenschutzbestimmungen"
"Product Name","Produktbezeichnung"
