"About us (Magento CMS)","Sobre nosotros (Magento CMS)"
"About us","Sobre nosotros"
"Add a discount code","Añade un código de descuento"
"Add discount code","Añade código de descuento"
"Add review","Escribir un comentario"
"Add to cart","Añadir al carro"
"Add to compare","Añadir para comparar"
"Add to favorite","Añade a favoritos"
"Allow notification about the order","Permite notificaciones sobre el pedido"
"Already have an account?","¿Ya tienes una cuenta?"
"An error appeared:","Ha ocurrido un error"
"Are you sure you would like to remove all the items from the shopping cart?","¿Estás seguro de que te gustaría eliminar todos los productos de tu carrito?"
"Are you sure you would like to remove all the items from the shopping cart?","¿Estás seguro de que te gustaría eliminar todos los productos de tu carrito?"
"Are you sure you would like to remove all the items from the wishlist?","¿Estás seguro de que te gustaría eliminar todos los productos de tu lista de deseos?"
"Are you sure?","¿Estás seguro?"
"Author","Autor"
"Authorization in progress ...","Autorización en progreso"
"Awesome! You have been successfully registered and logged in now!","¡Maravilloso! ¡Te has registrado y logueado correctamente!"
"Back to login","Volver al login"
"Back","Volver"
"Balance","Saldo"
"Billing address","Dirección de facturación"
"Buy tickets","Comprar entradas"
"By continuing to use our website without changing the settings","Si continúas utilizando nuestro sitio web sin cambiar los ajustes, estás aceptando el uso de cookies."
"Can\'t delete a default shipping nor billing address.","No podemos borrar una dirección de envío o facturación por defecto."
"Cancel","Cancelar"
"Card number","Número de tarjeta"
"Care instructions","Instrucciones de uso"
"Cash on delivery","Contra reembolso"
"Change my password","Cambiar mi contraseña"
"Check balance","Comprobar saldo"
"Checkout this out: {name} for {price}","Pagar: {name} por {price}"
"Choose an option","Elige una opción"
"Choose options","Elige opciones"
"Choose size","Elige talla"
"Choose your country","Elige tu país"
"Choose {attribute}","Elige {attribute}"
"City *","Ciudad *"
"City","Ciudad "
"Clear cart","Limpiar carrito"
"Clear filters","Limpiar filtros"
"Clear wishlist","Limpiar lista de deseos"
"Clear","Limpiar"
"Click here to add a new one","Haz click aquí y añade uno nuevo"
"Close","Cerrar"
"Cms Page Sync","Cms Page Sync"
"Columns","Columnas"
"Company name *","Nombre de compañía *"
"Compare products","Compara productos"
"Confirm your order","Confirma tu pedido"
"Contact us","Contáctanos"
"Continue to payment","Proceder al pago"
"Continue to shipping","Proceder al envío"
"Copy address data from shipping","Copiar datos de dirección de envío"
"Could not send an email. Please try again later.","No hemos podido enviar un email. Por favor inténtalo más tarde."
"Country *","País *"
"Country","País "
"Coupon","Cupón"
"Create a new account","Crear una nueva cuenta"
"Current password","Contraseña actual"
"Currently in pre-order","Actualmente en pre-order"
"Currently out of stock","Actualmente sin existencias"
"Custom Cms Page","Página Cms Personalizada"
"Customer service (Magento CMS)","Servicio de Atención al Cliente (Magento CMS)"
"Customer service","Servicio de Atención al Cliente "
"DPD Courier","DPD Mensajería"
"Data is not given to third parties and unsubscription is possible at any time. {policy}","Los datos no serán cedidos a terceros y darse de baja de la suscripción será posible en cualquier momento. {policy}"
"Date and time","Fecha y hora"
"Date of birth","Fecha de nacimiento"
"Date","Fecha"
"Deadline for entries is {showTo}. The decision is final.","La fecha límite para la participación es {showTo}. La decisión es final."
"Default billing address","Dirección de facturación por defecto"
"Default shipping address","Dirección de envío por defecto"
"Delete","Borrar"
"Delivery of your complete order not before official release. The preorder date is the release or delivery date for Germany, as we were told by the record label,the producer or the shipping company. There is no guarantee for a delivery on that date. In exceptional cases, especially for US imported products, there might be delays. As soon as we receive the article, we will ship it.","Entrega de su pedido completo no antes de su lanzamiento oficial. La fecha de reserva es la fecha de publicación, así como la fecha de envío para Alemania, que el sello discográfico, correos o el fabricante nos comunica. No se puede garantizar que la fecha de envío sea exáctamente esa. Pueden haber casos, como en productos procedentes de USA, en los que la fecha sufra variaciones. Tan pronto como nosotros recibimos el artículo es enviado lo más rápido posible."
"Delivery of your complete order not before {date}. The preorder date is the release date for Germany, as we were told by the record label or distributor. There is no guarantee for a delivery on that date. In exceptional cases, especially for imported products, there might be delays. As soon as we receive the article, we will ship it.","envío no posible del pedido completo antes de {date}. La fecha de reserva es la fecha de lanzamiento así como la fecha de envío para el territorio alemán comunicada con anterioridad por el  sello discográfico o su distribuidor. No se puede garantizar que la fecha de envío sea exáctamente esa. Pueden haber casos, como en productos importados, en los que la fecha sufra variaciones. Tan pronto como nosotros recibamos el artículo, será enviado lo más rápido posible."
"Delivery","Entrega"
"Departments","Departamentos"
"Discount code","Código de descuento"
"Discount","Descuento"
"Don't hesitate and","No dudes en"
