","Pahoittelut, mutta kilpailu on jo päättynyt. "
","Pahoittelut, mutta sinulla ei ole vielä tilauksia. "
"About us (Magento CMS)","Lisätietoja (Magento CMS)"
"About us","Lisätietoja"
"Add a discount code","Lisää alennuskoodi"
"Add discount code","Lisää alennuskoodi"
"Add review","Kirjoita arvostelu"
"Add to cart","Lisää ostoskoriin"
"Add to compare","Vertaile"
"Add to favorite","Lisää suosikkeihin"
"Allow notification about the order","Salli ilmoitukset tilauksestasi "
"Already have an account?","Onko sinulla jo tunnukset?"
"An error appeared:","Virhe käsitellessä pyyntöä: "
"Are you sure you would like to remove all the items from the shopping cart?","Oletko varma, että haluat poistaa kaikki tuotteet ostoskoristasi?"
"Are you sure you would like to remove all the items from the shopping cart?","Oletko varma, että haluat poistaa kaikki tuotteet ostoskoristasi?"
"Are you sure you would like to remove all the items from the wishlist?","Oletko varma, että haluat poistaa kaikki tuotteet toivelistaltasi? "
"Are you sure?","Oletko varma?"
"Author","Tekijä"
"Authorization in progress ...","Vahvistetaan, odota hetki..."
"Awesome! You have been successfully registered and logged in now!","Mahtavaa! Olet rekisteröitynyt onnistuneesti ja olet nyt kirjautuneena sisään! "
"Back to login","Takaisin kirjautumiseen"
"Back","Takaisin kirjautumiseen"
"Backprint","Selkäprintti"
"Balance","Saldo"
"Billing address","Laskutusosoite"
"Blank","Ei printtiä"
"Buy tickets","Osta lippuja"
"By continuing to use our website without changing the settings","Jatkamalla sivuillemme hyväksyt evästeiden käytön. "
"Can\'t delete a default shipping nor billing address.","Emme pystyneet poistamaan toimitus-/laskutusosoitetta."
"Cancel","Peruuta"
"Card number","Kortin numero"
"Care instructions","Pesuohjeet"
"Cash on delivery","Käteismaksu toimitettaessa"
"Change my password","Vaihda salasana"
"Check balance","Tarkista saldo"
"Checkout this out: {name} for {price}","Katso myös tämä: {name} hintaan {price}"
"Choose an option","Valitse vaihtoehto"
"Choose options","Valitse vaihtoehdoista"
"Choose size","Valitse koko"
"Choose your country","Valitse kieli"
"Choose {attribute}","Valitse {attribute}"
"City *","Kaupunki *"
"City","Kaupunki"
"Clear cart","Tyhjennä ostoskori"
"Clear filters","Tyhjennä filtterit "
"Clear wishlist","Tyhjennä toivelista"
"Clear","Tyhjennä"
"Click here to add a new one","Klikkaa tästä lisätäksesi uuden"
"Close","Sulje"
"Cms Page Sync","Cms Page Sync"
"Columns","Columns"
"Company name *","Yhtiön nimi *"
"Compare products","Vertaile tuotteita"
"Confirm your order","Vahvista tilauksesi"
"Contact us","Ota meihin yhteyttä "
"Continue shopping","Takaisin kauppaan"
"Continue to payment","Jatka maksuun"
"Continue to shipping","Jatka toimitustapaan"
"Copy address data from shipping","Kopioi osoitetiedot kohdasta toimitus"
"Could not send an email. Please try again later.","Sähköpostia ei lähetetty. Yritä myöhemmin uudelleen. "
"Country *","Maa *"
"Country","Maa "
"Coupon","Kuponki"
"Create a new account","Luo uudet tunnukset"
"Current password","Salasana"
"Currently in pre-order","Tällä hetkellä ennakkotilauksessa"
"Currently out of stock","Tällä hetkellä loppuunmyyty"
"Custom Cms Page","Custom Cms Page"
"Customer service (Magento CMS)","Asiakaspalvelu (Magento CMS)"
"Customer service","Asiakaspalvelu (Magento CMS)"
"DPD Courier","DPD toimittaja"
"Data is not given to third parties and unsubscription is possible at any time. {policy}","Dataa ei jaeta kolmansille osapuolille ja voit peruuttaa tilauksen halutessasi."
"Date and time","Päivämäärä ja aika"
"Date of birth","Syntymäaika"
"Date","Päivämäärä"
"Deadline for entries is {showTo}. The decision is final.","Viimeinen aika osallistua {showTo}. Päätös on lopullinen. "
"Default billing address","Laskutusosoite"
"Default shipping address","Toimitusosoite"
"Delete","Poista"
"Delivery of your complete order not before official release. The preorder date is the release or delivery date for Germany, as we were told by the record label,the producer or the shipping company. There is no guarantee for a delivery on that date. In exceptional cases, especially for US imported products, there might be delays. As soon as we receive the article, we will ship it.","Tilaustasi ei toimiteta ennen virallista julkaisua. Muita tilauksessa olevia tuotteita ei toimiteta ennen tuota päivää. Toimituspäivä on se päivä, jolloin jonka levy-yhtiö tai tuotteen toimittaja on ilmoittanut meille. Erityisesti USA:sta tulevissa tilauksissa saattaa ilmetä pieniä viiveitä. Saadessamme tuotteen varastoon toimitamme sen heti."
"Delivery of your complete order not before {date}. The preorder date is the release date for Germany, as we were told by the record label or distributor. There is no guarantee for a delivery on that date. In exceptional cases, especially for imported products, there might be delays. As soon as we receive the article, we will ship it.","Tilaustasi ei toimiteta ennen {date}. Myöskään muita tilauksessa olevia tuotteita ei toimiteta ennen tuota päivää. Toimituspäivä on se päivä, jolloin jonka levy-yhtiö tai tuotteen toimittaja on ilmoittanut meille. Erityisesti :sta tulevissa tilauksissa saattaa ilmetä pieniä viiveitä. Saadessamme tuotteen varastoon toimitamme sen heti."
"Delivery","Toimitus"
"Departments","Laitos"
"Discount code","Alennuskoodi"
"Discount","Alennuskoodi"
"Don't hesitate and","Älä epäröi ja"
"E-mail address","Sähköpostiosoite"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions","Ehdotus, jolla voisimme parantaa tuotteitamme / ostokokemusta "
"Edit newsletter preferences","Muokkaa uutiskirjeen asetuksia"
"Edit payment","Muokkaa maksutapaa"
"Edit personal details","Muokkaa henkilötietoja"
"Edit profile","Muokkaa profiilia"
"Edit shipping","Muokkaa toimitusta"
"Edit your profile","Muokkaa profiilia"
"Edit your shipping details","Muokkaa toimitustapaa"
"Edit","Muokkaa"
"Email address *","Sähköpostiosoite *"
"Email address","Sähköpostiosoite"
"Email has successfully been sent.","Sähköposti lähetetty onnistuneesti."
"English","Englanti"
"Enter your email address. After submit you will receive an email with an reset-link.","Syötä sähköpostiosoitteesi. Tämän jälkeen saat sähköpostiisi reset-linkin. "
"Erin recommends","Erin suosittelee"
"Error while sending reset password e-mail","Virhe reset-linkin lähetyksessä sähköpostiin"
"Error","Virhe"
"Everything new","Kaikkea uutta "
"Exclusive","Yksinomainen"
"Expires at","Päättyy"
"Extension developers would like to thank you for placing an order!","Extension developers would like to thank you for placing an order!"
"Features","Toiminnot"
"Female","Nainen"
"Field is required","Tieto puuttuu"
"Filter by categories","Lajittele kategorian mukaan"
"Filter by categories","Lajittele kategorian mukaan"
"Filter {label}","Suodata {label}"
"Filter","Suodatin"
"Filters","Suodattimet"
"First name","Etunimi"
"Forgot the password?","Unohditko salasanasi?"
"Forgot your house number?","Unohditko talosi numeron? "
"Gender","Sukupuoli"
"General agreement","Yleinen hyväksyminen "
"German","saksa"
"Germany","Saksa"
"Get inspired","Inspiroidu"
"Get the Impericon Newsletter & and get yourself a 5€ gift.","Tilaa Impericonin uutiskirje & saat 5€ alennuskoodin! "
"Get your 5€ Voucher","Saa 5€ alennuskoodi"
"Give a feedback","Anna palautetta"
"Go review the order","Arvostele tilauksesi"
"Go to Facebook","Mene Facebookkiin"
"Go to Instagram","Mene Instagramiin"
"Go to Pinterest","Mene Pinterestiin"
"Go to Youtube","Mene YouTubeen"
"Go to checkout","Mene kassalle"
"Help","Apua"
"Hi {firstname}","Hei {firstname}"
"Home","Koti"
"House/Apartment number *","Talon/Asunnon numero *"
"House/Apartment number","Talon/Asunnon numero"
"How did you like it?","Mitä pidit? "
"I accept terms and conditions","Minä hyväksyn käyttöehdot"
"I accept","Minä hyväksyn "
"I agree to","Hyväksyn"
"I have a company and want to receive an invoice for every order","Minulla on yritys ja tahdon vastaanottaa laskun jokaisesta tilauksestani."
"I have read and agree with the {terms}","{policy} ja {return}."
"I want to create an account","Haluan luoda tunnuksen"
"I want to create an account'","Haluan luoda tunnuksen'"
