"About us (Magento CMS)","À propos (Magento CMS)"
"About us","À propos"
"Add a discount code","Utiliser un code promotionel"
"Add discount code","Utiliser un code promotionel"
"Add review","Ajouter un avis"
"Add to cart","Ajouter au panier"
"Add to compare","Ajouter au comparateur"
"Add to favorite","Ajouter aux favoris"
"Allow notification about the order","Autoriser les notification à propos de votre commande"
"Already have an account?","Déjà inscrit(e)?"
"An error appeared:","Une erreur est survenue:"
"Are you sure you would like to remove all the items from the shopping cart?","Êtes-vous sûr(e) de vouloir vider votre panier?"
"Are you sure you would like to remove all the items from the shopping cart?","Êtes-vous sûr(e) de vouloir vider votre panier?"
"Are you sure you would like to remove all the items from the wishlist?","Êtes-vous sûr(e) de vouloir vider votre liste d'envies?"
"Are you sure?","Êtes-vous sûr(e)?"
"Author","Auteur"
"Authorization in progress ...","Autorisation en cours..."
"Awesome! You have been successfully registered and logged in now!","Félicitations! Vous avez êtes maintenant inscrit(e) et connecté(e) avec succès!"
"Back to login","Retour à la page de connexion"
"Back","Retour"
"Backprint","Impression au dos"
"Balance","Montant"
"Bands","Groupes"
"Billing address","Adresse de facturation"
"Blank","Vierge"
"Brands","Marques"
"Buy tickets","Achetez des places"
"By continuing to use our website without changing the settings","En poursuivant, vous acceptez de naviguer sur notre site sans changer les paramètres"
"Can\'t delete a default shipping nor billing address.","Impossible d'effacer une adresse de facturation ou de livraison par défaut."
"Cancel","Annuler"
"Card number","Numéro de carte"
"Care instructions","Entretient"
"Cash on delivery","Espèces à la livraison"
"Change my password","Changer de mot de passe"
"Check balance","Vérifier le montant"
"Checkout this out: {name} for {price}","Payer ceci: {name} pour {price}"
"Choose an option","Choisir une option"
"Choose options","Choisir des options"
"Choose size","Choisir une taille"
"Choose your country","Choisir votre pays"
"Choose {attribute}","Choisir {attribute}"
"City *","Ville*"
"City","Ville"
"Clear cart","Vider le panier"
"Clear filters","Retirer les filtres"
"Clear wishlist","Vider la liste d'envies"
"Clear","Vider"
"Click here to add a new one","Cliquez ici pour en ajouter un autre"
"Close","Fermer"
"Cms Page Sync","Synchronisation page Cms"
"Columns","Colonnes"
"Company name *","Nom de Société/Entrepise*"
"Compare products","Comparer les articles"
"Confirm your order","Confirmer votre commande"
"Contact us","Contactez nous"
"Continue shopping","Poursuivre vos achats"
"Continue to payment","Passer au paiement"
"Continue to shipping","Passer à l'expédition"
"Copy address data from shipping","Utiliser les informations d'expédition"
"Could not send an email. Please try again later.","Impossible d'envoyer un email. Merci de réessayer plus tard."
"Country *","Pays*"
"Country","Pays"
"Coupon","Coupon"
"Create a new account","Créer un nouveau compte"
"Current password","Mot de passe actuel"
"Currently in pre-order","Actuellement en précommande"
"Currently out of stock","Actuellement en rupture de stock"
"Custom Cms Page","Custom Cms Page"
"Customer service (Magento CMS)","Service Client (Magento CMS)"
"Customer service","Service Client"
"DPD Courier","Envoi par DPD"
"Data is not given to third parties and unsubscription is possible at any time. {policy}","Vos données personnelles ne seront pas partagées avec des tiers et vous pouvez vous désinscrire à tout moment {policy}"
"Date and time","Date et heure"
"Date of birth","Date de naissance"
"Date","Date"
"Deadline for entries is {showTo}. The decision is final.","Date limite d'inscription {showTo}. Le choix est irrévocable."
"Default billing address","Adresse de facturatin par défaut"
"Default shipping address","Adresse de livraison par défaut"
"Delete","Effacer"
"Delivery of your complete order not before official release. The preorder date is the release or delivery date for Germany, as we were told by the record label,the producer or the shipping company. There is no guarantee for a delivery on that date. In exceptional cases, especially for US imported products, there might be delays. As soon as we receive the article, we will ship it.","Livraison de votre commande complète pas avant sortie officielle. La date de precommande correspond a la livraison ou la date de sortie en Allemagne, comme le label, le producteur ou la companie de livraison nous l'a indiqué. Il n'ya pas de garantie absolue d'une livraison a cette date. Dans des cas exceptionnels, en particulier pour les produits importés des USA, il risque d'y avoir des retards. Dès que nous recevrons les stock nous les enverrons."
"Delivery of your complete order not before {date}. The preorder date is the release date for Germany, as we were told by the record label or distributor. There is no guarantee for a delivery on that date. In exceptional cases, especially for imported products, there might be delays. As soon as we receive the article, we will ship it.","La livraison intégrale de votre commande n'aura pas lieu avant le {date}. La date de précommande est la date de sortie ou de livraison en Allemagne, tel que nous en avons été informés par le label ou par le service de livraison. La date de livraison n'est pas garantie. Dans certains cas  exceptionnels, tout particulièrement pour les produits importés, il peut y avoir des contre temps. Dès que nous recevons l'article, nous l'expédions."
"Delivery","Livraison"
"Departments","Départements"
"Discount code","Code réduction"
"Discount","Réduction"
"Don't hesitate and","N'hésitez pas et"
"Drop us a line here","Dites quelques mots ici"
"E-mail address","Adresse e-mail"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions","Suggestions pour améliorer nos produits et votre expérience d'achats"
"Edit newsletter preferences","Modifier vos paramètres de newsletter"
"Edit payment","Modifier vos paramètres de paiement"
"Edit personal details","Modifier vos informations personnelles"
"Edit profile","Modifier votre profil"
"Edit shipping","Modifier la méthode d'expédition"
"Edit your profile","Modifier votre profil"
"Edit your shipping details","Modifier la méthode d'expédition"
"Edit","Modifier"
"Email address *","Adresse email*"
"Email address","Adresse email"
"Email has successfully been sent.","Email envoyé avec succès"
"English","Anglais"
"Enter your email address. After submit you will receive an email with an reset-link.","Merci de renseigner votre adresse email. Vous recevrez ensuite un email  avec un lien de réinitialisation."
"Erin recommends","Erin recommande"
"Error while sending reset password e-mail","Une erreur est survenue lors de la réinitialisation de votre mot de passe"
"Error","Erreur"
"Everything new","Tout nouveau"
"Exclusive","En Exclusivité"
"Expires at","Prend fin à"
"Extension developers would like to thank you for placing an order!","Les concepteurs de cette extension vous remercient d'avoir passé une commande!"
"Features","Caractéristiques"
"Female","Femme"
"Field is required","Champs requis"
"Filter by categories","Filtrer par catégories"
"Filter by categories","Filtrer par catégories"
"Filter {label}","Filtrer {label}"
"Filter","Filtre"
"Filters","Filtres"
"First name","Prénom"
"Forgot the password?","Mot de passe oublié?"
"Forgot your house number?","Numéro de rue oublié?"
"Gender","Sexe"
"General agreement","Accord général"
"German","Allemand"
"Germany","Allemagne"
"Get inspired","Trouvez l'inspiration"
"Get the Impericon Newsletter & and get yourself a 5€ gift.","Recevez la newsletter Impericon ainsi qu'un cadeau d'un montant de 5€."
"Get your 5€ Voucher","Obtenez votre bon d'achat de 5€"
"Give a feedback","Donnez votre avis"
"Go review the order","Allez votre avis sur votre commande"
"Go to Facebook","Aller sur Facebook"
"Go to Instagram","Aller sur Instagram"
"Go to Pinterest","Aller sur Pinterest"
"Go to Youtube","Aller sur Youtube"
"Go to checkout","Aller au paiement"
"Help","Aide"
"Hi {firstname}","Hi {firstname}"
