","Mi dispiace ma non hai ancora effettuato ordini."
","Mi dispiace ma questo concorso è già finito."
"About us (Magento CMS)","Chi siamo (Magento CMS)"
"About us","Chi siamo"
"Add a discount code","Aggiungi un codice sconto"
"Add discount code","Aggiungi il codice sconto"
"Add review","Aggiungi recensione"
"Add to cart","Aggiungi al carrello"
"Add to compare","Aggiungi per confrontare"
"Add to favorite","Aggiungi ai preferiti"
"Allow notification about the order","Consenti la notifica dell'ordine"
"Already have an account?","Hai già un account?"
"An error appeared:","È stato rilevato un errore:"
"Are you sure you would like to remove all the items from the shopping cart?","Vuoi davvero rimuovere tutti gli articoli dal carrello?"
"Are you sure you would like to remove all the items from the shopping cart?","Vuoi davvero rimuovere tutti gli articoli dal carrello?"
"Are you sure you would like to remove all the items from the wishlist?","Vuoi davvero rimuovere tutti gli articoli dalla lista dei desideri?"
"Are you sure?","Confermi?"
"Author","Autore"
"Authorization in progress ...","Autorizzazione in corso..."
"Awesome! You have been successfully registered and logged in now!","Ottimo! Hai effettuato la registrazione e il login con successo!"
"Back to login","Torna al login"
"Back","Indietro"
"Backprint","Stampa sul retro"
"Balance","Saldo"
"Billing address","Indirizzo di fatturazione"
"Blank","Marca"
"Buy tickets","Acquista i biglietti"
"By continuing to use our website without changing the settings","Continuando ad utilizzare il nostro sito web senza modificare le impostazioni, acconsenti al nostro utilizzo dei cookie"
"Can\'t delete a default shipping nor billing address.","Non è possibile eliminare un indirizzo di spedizione o di fatturazione predefinito"
"Cancel","Cancella"
"Card number","Numero della carta"
"Care instructions","Istruzioni per l'uso"
"Cash on delivery","Contrassegno"
"Change my password","Modifica la mia password"
"Check balance","Controlla il saldo"
"Checkout this out: {name} for {price}","Checkout: {name} per {price}"
"Choose an option","Scegli un'opzione"
"Choose options","Scegli le opzioni"
"Choose size","Scegli la dimensione"
"Choose your country","Scegli la tua nazione"
"Choose {attribute}","Scegli {attributo}"
"City *","Città *"
"City","Città"
"Clear cart","Svuota il carrello"
"Clear filters","Elimina i filtri"
"Clear wishlist","Svuota la lista dei desideri"
"Clear","Cancella"
"Click here to add a new one","Clicca qui per aggiungerne un altro"
"Close","Chiudi"
"Cms Page Sync","Sincronizzazione pagina CMS"
"Columns","Colonne"
"Company name *","Nome della società *"
"Compare products","Confronta i prodotti"
"Confirm your order","Conferma l'ordine"
"Contact us","Contattaci"
"Continue shopping","Continua lo shopping"
"Continue to payment","Prosegui con il pagamento"
"Continue to shipping","Prosegui con la spedizione"
"Copy address data from shipping","Copia i dati dell'indirizzo di spedizione"
"Could not send an email. Please try again later.","Non è stato possibile inviare un'e-mail. Si prega di riprovare più tardi."
"Country *","Nazione *"
"Country","Nazione"
"Coupon","Coupon"
"Create a new account","Crea un nuovo account"
"Current password","Password attuale"
"Currently in pre-order","Al momento in pre-ordine"
"Currently out of stock","Al momento non disponibile"
"Custom Cms Page","Pagina Cms personalizzata"
"Customer service (Magento CMS)","Servizio clienti (Magento CMS)"
"Customer service","Servizio clienti"
"DPD Courier","Corriere DPD"
"Data is not given to third parties and unsubscription is possible at any time. {policy}","I dati non vengono forniti a terzi ed è possibile cancellare l'iscrizione in qualsiasi momento. {policy}"
"Date and time","Data e ora"
"Date of birth","Data di nascita"
"Date","Data"
"Deadline for entries is {showTo}. The decision is final.","Il termine ultimo per l'iscrizione è {showTo}. La decisione è definitiva."
"Default billing address","Indirizzo di fatturazione predefinito"
"Default shipping address","Indirizzo di spedizione predefinito"
"Delete","Cancella"
"Delivery","Consegna"
"Departments","Reparti"
"Discount code","Codice sconto"
"Discount","Sconto"
"Don't hesitate and","Non esitare e"
"E-mail address","Indirizzo e-mail"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions","suggerimenti su come migliorare i prodotti o l'esperienza d'acquisto"
"Edit newsletter preferences","Modifica le preferenze della newsletter"
"Edit payment","Modifica pagamento"
"Edit personal details","Modifica i dati personali"
"Edit profile","Modifica profilo"
"Edit shipping","Modifica spedizione"
"Edit your profile","Modifica il tuo profilo"
"Edit your shipping details","Modifica i dati di spedizione"
"Edit","Modifica"
"Email address *","Indirizzo e-mail *"
"Email address","Indirizzo e-mail"
"Email has successfully been sent.","L'e-mail è stata inviata con successo."
"English","Inglese"
"Enter your email address. After submit you will receive an email with an reset-link.","Inserisci il tuo indirizzo e-mail. Dopo l'invio riceverai un'e-mail con un link per il reset."
"Erin recommends","Erin consiglia"
"Error while sending reset password e-mail","Errore durante l'invio dell'e-mail di reset della password"
"Error","Errore"
"Everything new","Tutto nuovo"
"Exclusive","Esclusivo"
"Expires at","Scade a"
"Extension developers would like to thank you for placing an order!","Gli sviluppatori di estensioni desiderano ringraziarti per aver effettuato un ordine!"
"Features","Caratteristiche"
"Female","Femmina"
"Field is required","Il campo è obbligatorio"
"Filter by categories","Filtra per categorie"
"Filter by categories","Filtra per categorie"
"Filter {label}","Filtro {label}"
"Filter","Filtro"
"Filters","Filtri"
"First name","Nome"
"Forgot the password?","Hai dimenticato la password?"
"Forgot your house number?","Hai dimenticato il tuo numero civico?"
"Gender","Sesso"
"General agreement","Accordo generale"
"German","Tedesco"
"Germany","Germania"
"Get inspired","Lasciati ispirare"
"Get the Impericon Newsletter & and get yourself a 5€ gift.","Ricevi la Newsletter LiveYourMusic & e ricevi un regalo di 5€."
"Get your 5€ Voucher","Ottieni il tuo coupon da 5€"
"Give a feedback","Dai un feedback"
"Go review the order","Controlla l'ordine"
"Go to Facebook","Vai a Facebook"
"Go to Instagram","Vai a Instagram"
"Go to Pinterest","Vai a Pinterest"
"Go to Youtube","Vai a YouTube"
"Go to checkout","Vai al checkout"
"Help","Aiuto"
"Hi {firstname}","Ciao {firstname}"
"Home","Casa"
"House/Apartment number *","Numero civico / di appartamento *"
"House/Apartment number","Numero civico / di appartamento"
"How did you like it?","Ti è piaciuto?"
"I accept terms and conditions","Accetto i termini e le condizioni"
"I accept","Accetto"
"I agree to","Acconsento a"
"I have a company and want to receive an invoice for every order","Ho un'azienda e voglio ricevere una fattura per ogni ordine"
"I have read and agree with the {terms}","Ho letto e accetto i {terms} di {policy} e {return}."
"I want to create an account","Voglio creare un account"
