"About us (Magento CMS)","Over ons (Magento CMS)"
"About us","Over ons"
"Add a discount code","Voeg een kortingscode toe"
"Add discount code","Kortingscode toevoegen"
"Add review","Review toevoegen"
"Add to cart","Aan winkelmandje toevoegen"
"Add to compare","Voeg toe om te vergelijken"
"Add to favorite","Aan favorieten toevoegen"
"Allow notification about the order","Meldingen over je bestelling toestaan"
"Already have an account?","Heb je al een account?"
"An error appeared:","Er is een fout opgetreden:"
"Are you sure you would like to remove all the items from the shopping cart?","Weet je zeker dat je alle items uit je winkelmandje wilt verwijderen?"
"Are you sure you would like to remove all the items from the shopping cart?","Weet je zeker dat je alle items uit je winkelmandje wilt verwijderen?"
"Are you sure you would like to remove all the items from the wishlist?","Weet je zeker dat je alle items van je wensenlijst wilt verwijderen?"
"Are you sure?","Weet je het zeker?"
"Author","Auteur"
"Authorization in progress ...","Bezig met autoriseren..."
"Awesome! You have been successfully registered and logged in now!","Awesome! Je bent succesvol geregistreerd en ingelogd!"
"Back to login","Terug naar inloggen"
"Back","Terug"
"Balance","Saldo"
"Billing address","Factuuradres"
"Buy tickets","Koop tickets"
"By continuing to use our website without changing the settings","Je gaat akkoord met ons gebruik van cookies"
"Can\'t delete a default shipping nor billing address.","Kan een standaardverzend- of factuuradres niet verwijderen."
"Cancel","Annuleren"
"Card number","Kaartnummer"
"Care instructions","Onderhoudsinstructies"
"Cash on delivery","Rembours"
"Change my password","Verander mijn wachtwoord"
"Check balance","Controleer saldo"
"Checkout this out: {name} for {price}","Bekijk dit eens: {name} voor {price}"
"Choose an option","Kies een optie"
"Choose options","Kies opties"
"Choose size","Kies je maat"
"Choose your country","Kies je land"
"Choose {attribute}","Kies {attribute}"
"City *","Stad*"
"City","stad"
"Clear cart","Winkelwagen legen"
"Clear filters","Filters wissen"
"Clear wishlist","Wensenlijst wissen"
"Clear","Wissen"
"Click here to add a new one","Klik hier om een ​​nieuwe toe te voegen"
"Close","Sluiten"
"Cms Page Sync","Cms-paginasynchronisatie"
"Columns","kolommen"
"Company name *","Bedrijfsnaam*"
"Compare products","Vergelijk Producten"
"Confirm your order","bevestig je bestelling"
"Contact us","Neem contact op"
"Continue to payment","Doorgaan naar betalen"
"Continue to shipping","Doorgaan naar verzenden"
"Copy address data from shipping","Kopieer adresgegevens van verzending"
"Could not send an email. Please try again later.","Kon geen e-mail sturen. Probeer het later opnieuw."
"Country *","Land*"
"Country","land"
"Coupon","Coupon"
"Create a new account","Maak een nieuw account aan"
"Current password","Huidig ​​wachtwoord"
"Currently in pre-order","Momenteel in pre-order"
"Currently out of stock","Momenteel niet op voorraad"
"Custom Cms Page","Aangepaste Cms-pagina"
"Customer service (Magento CMS)","Klantenservice (Magento CMS)"
"Customer service","Klantenservice"
"DPD Courier","DPD koerier"
"Data is not given to third parties and unsubscription is possible at any time. {policy}","Gegevens worden niet gedeeld met derden en uitschrijven is altijd mogelijk. {policy}"
"Date and time","Datum en tijd"
"Date of birth","Geboortedatum"
"Date","Datum"
"Deadline for entries is {showTo}. The decision is final.","Deadline voor inzendingen is {showTo}. De uitslag is definitief."
"Default billing address","Standaard factuuradres"
"Default shipping address","Standaard verzendadres"
"Delete","Verwijderen"
"Delivery","Levering"
"Departments","afdelingen"
"Discount code","Kortingscode"
"Discount","Korting"
"Don't hesitate and","Aarzel niet en"
"E-mail address","E-mailadres"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions","E-Mail ons je vragen via <b>demo@vuestorefront.io</b>"
"Edit newsletter preferences","Wijzig nieuwsbriefvoorkeuren"
"Edit payment","Bewerk betaling"
"Edit personal details","Bewerk persoonlijke gegevens"
"Edit profile","Bewerk profiel"
"Edit shipping","Verzending bewerken"
"Edit your profile","pas je profiel aan"
"Edit your shipping details","Bewerk uw verzendgegevens"
"Edit","Bewerk"
"Email address *","E-mailadres*"
"Email address","E-mailadres"
"Email has successfully been sent.","E-mail is succesvol verzonden."
"English","Engels"
"Enter your email address. After submit you will receive an email with an reset-link.","Vul je e-mailadres in. Na het indienen ontvang je een e-mail met een reset-link."
"Erin recommends","Erin beveelt aan"
"Error while sending reset password e-mail","Fout bij het verzenden van reset wachtwoord e-mail"
"Error","Fout"
"Everything new","Alles nieuw"
"Expires at","Vervalt op"
"Extension developers would like to thank you for placing an order!","Extensie-ontwikkelaars willen je bedanken voor het plaatsen van een bestelling!"
"Features","Kenmerken"
"Female","Vrouw"
"Field is required","Veld is verplicht"
"Filter by categories","Filteren op categorieën"
"Filter by categories","Filteren op categorieën"
"Filter {label}","Filter {label}"
"Filter","Filter"
"Filters","Filters"
"First name","Voornaam"
"Forgot the password?","Wachtwoord vergeten?"
"Forgot your house number?","Huisnummer vergeten?"
"Gender","Geslacht"
"General agreement","Algemene overeenkomst"
"German","Duits"
"Germany","Duitsland"
"Get inspired","Raak geïnspireerd"
