","Przepraszamy, ale nie masz jeszcze żadnych zamówień."
","Przepraszamy, ale ten konkurs już się skończył."
"About us (Magento CMS)","O nas (Magento CMS)"
"About us","O nas"
"Add a discount code","Dodaj kod zniżkowy"
"Add discount code","Dodaj kod zniżkowy"
"Add review","Dodaj recenzję"
"Add to cart","Dodaj do karty"
"Add to compare","Dodaj do porównania"
"Add to favorite","Dodaj do ulubionych"
"Allow notification about the order","Pozwalaj na powiadomienia o zamówieniu"
"Already have an account?","Masz już konto?"
"An error appeared:","Wystąpił błąd:"
"Are you sure you would like to remove all the items from the shopping cart?","Jesteś pewien, że chcesz usunąć wszystkie produkty z karty?"
"Are you sure you would like to remove all the items from the shopping cart?","Jesteś pewien, że chcesz usunąć wszystkie produkty z karty?"
"Are you sure you would like to remove all the items from the wishlist?","Jesteś pewien, że chcesz usunąć wszystkie produkty z listy życzeń?"
"Are you sure?","Jesteś pewien?"
"Author","Autor"
"Authorization in progress ...","W trakcie autoryzacji..."
"Awesome! You have been successfully registered and logged in now!","Świetnie! Zostałeś pomyślnie zarejestrowany i zalogowany teraz!"
"Back to login","Powróć do logowania"
"Back","Wstecz"
"Balance","Saldo"
"Billing address","Adres rozliczeniowy"
"Buy tickets","Kup bilety"
"By continuing to use our website without changing the settings","Zgadzasz się na używanie plików cookies."
"Can\'t delete a default shipping nor billing address.","Nie można usunąć domyślnego adresu wysyłki ani adresu rozliczeniowego."
"Cancel","Anuluj"
"Card number","Numer karty"
"Care instructions","Instrukcje opieki"
"Cash on delivery","Płatność gotówką przy odbiorze"
"Change my password","Zmień moje hasło"
"Check balance","Sprawdź saldo"
"Checkout this out: {name} for {price}","Sprawdź to: {nazwa} za {cena}"
"Choose an option","Wybierz opcję"
"Choose options","Wypierz opcje"
"Choose size","Wybierz rozmiar"
"Choose your country","Wybierz swój kraj"
"Choose {attribute}","Wybierz {atrybut}"
"City *","Miasta *"
"City","Miasto"
"Clear cart","Wyczyść kartę"
"Clear filters","Wyczyść filtry"
"Clear wishlist","Wyczyść listę życzeń"
"Clear","Wyczyść"
"Click here to add a new one","Kliknij tutaj aby dodać nowe"
"Close","Zamknij"
"Cms Page Sync","Synchronizacja strony Cms"
"Columns","Kolumny"
"Company name *","Nazwa firmy *"
"Compare products","Porównaj produkty"
"Confirm your order","Potwierdź zamówienie"
"Contact us","Skontaktuj się z nami"
"Continue to payment","Kontynuuj płatność"
"Continue to shipping","Kontynuuj zakupy"
"Copy address data from shipping","Kopiuj dane adresowe z wysyłki"
"Could not send an email. Please try again later.","Nie można wysłać wiadomości. Spróbuj ponownie później."
"Country *","Kraje *"
"Country","Kraj"
"Coupon","Kupon"
"Create a new account","Stwórz nowe konto"
"Current password","Obecne hasło"
"Currently in pre-order","Obecnie w pre-orderze"
"Currently out of stock","Tymczasowo niedostępne"
"Custom Cms Page","Niestandardowa strona Cms"
"Customer service (Magento CMS)","Obsługa klienta (Magento CMS)"
"Customer service","Obsługa klienta"
"DPD Courier","Kurier DPD"
"Data is not given to third parties and unsubscription is possible at any time. {policy}","Dane nie są przekazywane stronom trzecim i rezygnacja z subskrypcji jest możliwa w dowolnym momencie. {polityka}"
"Date and time","Data i czas"
"Date of birth","Data urodzenia"
"Date","Data"
