","Desculpa, mas ainda não tens nenhuma encomenda."
","Desculpa, mas este concurso já terminou."
"About us (Magento CMS)","Sobre nós (Magento CMS)"
"About us","Sobre nós"
"Add a discount code","Adiciona um código de desconto"
"Add discount code","Adiciona código de desconto"
"Add review","Adicionar review"
"Add to cart","Adiciona ao carrinho"
"Add to compare","Adiciona para comparar"
"Add to favorite","Adiciona aos favoritos"
"Allow notification about the order","Permitir notificações sobre a encomenda"
"Already have an account?","Já tens uma conta?"
"An error appeared:","Ocorreu um erro:"
"Are you sure you would like to remove all the items from the shopping cart?","Tens a certeza que queres remover todos os itens do carrinho?"
"Are you sure you would like to remove all the items from the shopping cart?","Tens a certeza que queres remover todos os itens do carrinho?"
"Are you sure you would like to remove all the items from the wishlist?","Tens a certeza que queres remover todos os itens da lista de desejos?"
"Are you sure?","Tens a certeza?"
"Author","Autor"
"Authorization in progress ...","Autorização em progresso"
"Awesome! You have been successfully registered and logged in now!","Boa! Já estás registado!"
"Back to login","Volta ao login"
"Back","Voltar atrás"
"Balance","Saldo"
"Billing address","Morada de facturação"
"Buy tickets","Compra bilhetes"
"By continuing to use our website without changing the settings","estás a concordar com o uso de cookies."
"Can\'t delete a default shipping nor billing address.","Não\ consigo apagar o endereço de envio nem o de faturação."
"Cancel","Cancelar"
"Card number","Número de cartão"
"Care instructions","Cuidados a ter"
"Cash on delivery","Dinheiro na entrega"
"Change my password","Alterar a minha password"
"Check balance","Verificar saldo"
"Checkout this out: {name} for {price}","Check this out: {name} por {price}"
"Choose an option","Escolhe uma opção"
"Choose options","Opções de escolha"
"Choose size","Escolhe o tamanho"
"Choose your country","Escolhe o teu país"
"Choose {attribute}","Escolhe"
"City *","Cidade *"
"City","Cidade"
"Clear cart","Esvaziar carrinho de compras"
"Clear filters","Remover todos os filtros"
"Clear wishlist","Eliminar lista de desejos"
"Clear","Eliminar"
"Click here to add a new one","Clica aqui para adicionar um novo"
"Close","Fechar"
"Cms Page Sync","Página de sincronização CMS"
"Columns","Colunas"
"Company name *","Nome da empresa *"
"Compare products","Comparar produtos"
"Confirm your order","Confirma a tua encomenda"
"Contact us","Contacta-nos"
"Continue to payment","Avançar para pagamento"
"Continue to shipping","Avançar para envio"
"Copy address data from shipping","Copiar morada da encomenda"
"Could not send an email. Please try again later.","Não foi possível enviar um email. Por favor tenta mais tarde."
"Country *","País *"
"Country","País"
"Coupon","Cupom"
"Create a new account","Criar uma nova conta"
"Current password","Password atual"
"Currently in pre-order","Atualmente em pre-order"
"Currently out of stock","Atualmente fora de stock"
"Custom Cms Page","Página Cms Personalizada"
"Customer service (Magento CMS)","Apoio ao cliente (Magento CMS)"
"Customer service","Apoio ao cliente"
"DPD Courier","Correio DPD"
"Data is not given to third parties and unsubscription is possible at any time. {policy}","Os dados não serão passados para terceiros e é possivel anular a subscrição em qualquer altura. {policy}"
"Date and time","Data e hora"
"Date of birth","Data de nascimento"
"Date","Data"
"Deadline for entries is {showTo}. The decision is final.","O prazo para inscrições é {showTo}. É a última oportunidade."
"Default billing address","Morada de facturação principal"
"Default shipping address","Morada de envio principal"
"Delete","Apagar"
"Delivery","Entrega"
"Departments","Departamentos"
"Discount code","Código de desconto"
"Discount","Desconto"
"Don't hesitate and","Não hesites e"
"E-mail address","Endereço de e-mail"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions","indicanos como poderíamos melhorar os produtos e a experiência de compra"
