","Den här tävlingen är redan över"
","men du har inga beställningar än"
"About us (Magento CMS)","Om oss (Magento CMS)"
"About us","Om oss"
"Add a discount code","Lägg till en rabattkod"
"Add discount code","Lägg till rabattkod"
"Add review","Lägg till recension"
"Add to cart","Lägg till kundkorgen"
"Add to compare","Lägg till för att jämföra"
"Add to favorite","Lägg till i favoriter"
"Allow notification about the order","Tillåt notis för beställningen"
"Already have an account?","Har du redan ett konto?"
"An error appeared:","Ett fel uppstod:"
"Are you sure you would like to remove all the items from the shopping cart?","Är du säker på att du vill ta bort alla varor från kundkorgen?"
"Are you sure you would like to remove all the items from the shopping cart?","Är du säker på att du vill ta bort alla varor från kundkorgen?"
"Are you sure you would like to remove all the items from the wishlist?","Är du säker på att du vill ta bort alla varor från önskelistan?"
"Are you sure?","Är du säker?"
"Author","Upphovsman"
"Authorization in progress ...","Behörighet är pågående... "
"Awesome! You have been successfully registered and logged in now!","Awesome! Du har blivit registrerad och är nu inloggad!"
"Back to login","TIllbaka till inloggning"
"Back","TIllbaka till inloggning"
"Balance","Balans"
"Billing address","Faktureringsadress"
"Buy tickets","Köp biljetter"
"By continuing to use our website without changing the settings","Genom att fortsätta på vår hemsida utan att ändra inställningarna godkänner du användningen av cookies."
"Can\'t delete a default shipping nor billing address.","Kan /inte/ ta bort en standard leverans eller faktureringsadress"
"Cancel","Makulera"
"Card number","Kortnummer"
"Care instructions","Skötselråd"
"Cash on delivery","Betalning vid leverans"
"Change my password","Ändra mitt lösenord"
"Check balance","Kontrollera balans"
"Checkout this out: {name} for {price}","Kolla in det här: {name} för {price}"
"Choose an option","Välj ett alternativ"
"Choose options","Välj alternativ"
"Choose size","Välj storlek"
"Choose your country","Välj ditt land"
"Choose {attribute}","Välj {egenskap}"
"City *","Stad *"
"City","Stad"
"Clear cart","Rensa korgen"
"Clear filters","Rensa filter"
"Clear wishlist","Rensa önsklistan"
"Clear","Rensa"
"Click here to add a new one","Klicka här för att lägga till en ny"
"Close","Stäng"
"Cms Page Sync","Cms Page Sync"
"Columns","Kolumner"
"Company name *","Företagsnamn *"
"Compare products","Jämför produkter"
"Confirm your order","Bekräfta din order"
"Contact us","Kontakta oss"
"Continue to payment","Fortsätt till betalning "
"Continue to shipping","Continue to shipping"
"Copy address data from shipping","Kopiera adressinformation från leverans"
"Could not send an email. Please try again later.","Kunde inte kicka email. Vänligen försök igen senare."
"Country *","Land*"
"Country","Land"
"Coupon","Kupong"
"Create a new account","Skapa nytt konto"
"Current password","Nuvarande lösenord"
"Currently in pre-order","Just nu i pre-order"
"Currently out of stock","Just nu ej i lager"
"Custom Cms Page","Custom Cms Sida"
"Customer service (Magento CMS)","Kundservice (Magento CMS)"
"Customer service","Kundservice (Magento CMS)"
"DPD Courier","DPD Bud"
"Data is not given to third parties and unsubscription is possible at any time. {policy}","Data ges inte ut till tredje part och avprenumeration är möjlig vid vilken tidpunkt som helst"
"Date and time","Datum och tid"
"Date of birth","Födelsedatum"
"Date","Datum och tid"
"Deadline for entries is {showTo}. The decision is final.","Deadline för tillträde är {showTo}. Beslutet är slutgiltigt."
"Default billing address","Standard faktureringsadress"
"Default shipping address","Standard leveransadress"
"Delete","Ta bort"
"Delivery of your complete order not before official release. The preorder date is the release or delivery date for Germany, as we were told by the record label,the producer or the shipping company. There is no guarantee for a delivery on that date. In exceptional cases, especially for US imported products, there might be delays. As soon as we receive the article, we will ship it.","Leverans av din kompletta för att inte innan officiella releasen."
"Delivery of your complete order not before {date}. The preorder date is the release date for Germany, as we were told by the record label or distributor. There is no guarantee for a delivery on that date. In exceptional cases, especially for imported products, there might be delays. As soon as we receive the article, we will ship it.","Leverans av komplett order sker ej före {date}. Förbeställningsdatumet är release-eller leveransdatumet för Tyskland, enligt information vi fått av skivbolaget  eller leverantören. Det finns ingen garanti för en leverans på det datumet. I enstaka fall, särskilt för importerade produkter, kan förseningar ske. Så snart vi fått in produkten skickar vi den. Ytterligare produkter i din order kommer ej att skickas före detta datum."
"Delivery","Leverans"
"Departments","Avdelningar"
"Discount code","Rabattkod"
"Discount","Rabattkod"
"Don't hesitate and","Tveka inte"
"E-mail address","E-mailadress"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions","Föreslå hur vi skulle kunna förbättra produkter eller shoppingupplevelse"
"Edit newsletter preferences","Redigera preferenser för nyhetsbred"
"Edit payment","Redigera betalning"
"Edit personal details","Redigera personliga detaljer"
"Edit profile","Redigera profil"
"Edit shipping","Redigera frakt"
"Edit your profile","Redigera din profil"
"Edit your shipping details","Redigera dina leveransdetaljer"
"Edit","Redigera"
"Email address *","Emailadress *"
"Email address","Emailadress *"
"Email has successfully been sent.","Email har blivit skickat."
"English","Engelska"
"Enter your email address. After submit you will receive an email with an reset-link.","Fyll i din emailaress. Efter detta kommer du få ett email med en återställningslänk."
"Erin recommends","Erin rekommenderar"
"Error while sending reset password e-mail","Fel uppstod då lösenord om återställning skickades"
"Error","Fel"
"Everything new","Allt nytt"
"Expires at","Utågr"
"Extension developers would like to thank you for placing an order!","Förlängningsutvecklare vill tacka dig för att ha lagt en order"
"Features","Artiklar"
"Female","Kvinna"
"Field is required","Fält krävs"
"Filter by categories","Filtrera efter kategorier"
"Filter by categories","Filtrera efter kategorier"
"Filter {label}","Filtrera {etikett}"
"Filter","Filter"
"Filters","Filter"
"First name","Förnamn"
"Forgot the password?","Glömt lösenordet?"
"Forgot your house number?","Glömt ditt husnummer?"
"Gender","Kön"
"General agreement","Generell överenskommelse"
"German","Tysk"
"Germany","Tyskland"
